expression, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
topframe_angry_1_+delta, 1.39, 2.27, 1.89, 0.00, 0.62, 1.75, 0.51, 0.59, 0.87, 0.63, 0.00, 0.00, 0.00, 0.54, 1.38, 2.41, 0.34, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
topframe_angry_1_delta, 1.62, 0.46, 0.00, 0.00, 0.00, 2.16, 0.00, 0.00, 0.00, 0.12, 0.43, 1.39, 0.81, 0.01, 1.02, 1.85, 0.08, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0
topframe_angry_1_nodelta, 1.59, 0.20, 0.00, 0.00, 0.00, 2.75, 0.18, 0.65, 0.00, 0.00, 0.43, 1.07, 0.63, 0.12, 1.35, 2.19, 0.27, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0
topframe_angry_2_+delta, 0.99, 0.00, 0.00, 0.00, 0.24, 3.23, 0.84, 0.70, 0.25, 0.00, 0.01, 0.90, 0.30, 0.36, 1.06, 2.72, 0.31, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
topframe_angry_2_delta, 1.46, 0.26, 0.00, 0.00, 0.00, 2.27, 0.00, 0.64, 0.37, 0.39, 0.63, 1.26, 0.23, 0.00, 1.65, 2.21, 0.16, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
topframe_angry_2_nodelta, 1.18, 0.00, 0.00, 0.00, 0.14, 2.39, 0.26, 1.24, 0.41, 0.30, 0.11, 1.15, 0.05, 0.00, 1.58, 2.15, 0.11, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
topframe_angry_3_+delta, 1.18, 1.54, 1.77, 0.00, 1.64, 1.73, 0.92, 1.81, 1.74, 1.20, 0.00, 0.00, 0.00, 0.55, 2.24, 2.24, 0.00, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
topframe_angry_3_delta, 0.99, 1.52, 1.38, 0.00, 0.60, 1.81, 0.45, 1.00, 1.10, 0.72, 0.00, 0.00, 0.00, 0.21, 1.79, 2.53, 0.00, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
topframe_angry_3_nodelta, 0.76, 1.28, 1.52, 0.00, 0.80, 2.98, 0.81, 0.71, 1.20, 1.44, 0.00, 0.00, 0.00, 0.00, 1.56, 1.50, 0.10, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0
topframe_happy_1_+delta, 1.83, 2.86, 1.12, 0.00, 1.77, 2.87, 0.00, 0.43, 2.76, 1.39, 0.00, 0.00, 0.00, 0.00, 2.15, 0.80, 1.05, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0
