Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:01.001,51,0.38229078,0.17806195,0.01559937,0.42056841,0.09894522,0.82677108,0.00281995,0.38171777,0.19310440,0.39408702,0.00467780,0.09444908,0.70961583,0.00062179,0.00073303,0.00064977,0.00025641,0.07611609,0.00881325,0.00381622,0.00158092,0.00837309,0.00003500,0.30593413,0.23843147,0.00055138,0.00083399,0.05598836,0.01656944,0.00191701,0.01819761,0.02088992,0.01820366,0.00533597,0.01241356,0.10407145,0.03457143,0.02764100,0.07674121,0.38995123,0.35209441,0.00000301,0.04855749,0.10610548,0.00809042,0.00565631,0.00038246,0.00000121,0.00000045,0.00000107,0.00000301,0,0.20825785364019617,0.03300984782756993,0.024804238237804213,0.44160813093185425,0.4612140655517578,0,0.44160813093185425,0.4612140655517578,0
00:00:00:02.002,51,0.40352100,0.13828541,0.02359073,0.30864921,0.14952344,0.81663245,0.00279005,0.39477128,0.14729896,0.29639661,0.00964823,0.13715415,0.74164522,0.00075100,0.00120141,0.00074638,0.00120553,0.26320022,0.01346057,0.00624389,0.00356445,0.00169424,0.00007299,0.62262809,0.66433144,0.00049570,0.00064710,0.02666061,0.01811472,0.00142033,0.01973764,0.02053904,0.03523794,0.00239388,0.00225532,0.02893345,0.03331365,0.13241954,0.25519034,0.40846726,0.45386550,0.00000341,0.05844245,0.08165802,0.01221373,0.00803772,0.00085347,0.00000107,0.00000047,0.00000056,0.00000341,0,0.24233831372838507,0.03095265210795503,0.020950009699348418,0.4394538700580597,0.46144551038742065,0,0.4394538700580597,0.46144551038742065,0
00:00:00:03.003,51,0.40391925,0.13613422,0.02351410,0.30936188,0.15176681,0.82057071,0.00280798,0.39019027,0.14566466,0.29696745,0.00968220,0.13899212,0.73782349,0.00077001,0.00120513,0.00074468,0.00122283,0.26728269,0.01389261,0.00615236,0.00345136,0.00170272,0.00007286,0.62674773,0.66811180,0.00049286,0.00064500,0.02723569,0.01817961,0.00139524,0.01988561,0.02071570,0.03692407,0.00239285,0.00220726,0.02959343,0.03347385,0.12946174,0.25097117,0.40218225,0.44643766,0.00000349,0.05630642,0.08307999,0.01218084,0.00828842,0.00086731,0.00000107,0.00000048,0.00000056,0.00000349,0,0.24193171783771078,0.03131569969837054,0.02124619705500563,0.4394911825656891,0.46144795417785645,0,0.4394911825656891,0.46144795417785645,0
00:00:00:04.004,51,0.41577491,0.12923849,0.02288840,0.33483312,0.16870540,0.83108699,0.00279917,0.43379450,0.14322199,0.32774332,0.00763834,0.14468551,0.77311140,0.00063740,0.00087391,0.00167038,0.00075962,0.37397593,0.01800795,0.00512516,0.00382576,0.00171471,0.00005646,0.66917384,0.74074948,0.00122581,0.00164195,0.02853397,0.01858256,0.00185313,0.02950383,0.01933957,0.02262121,0.00377547,0.00240181,0.02494118,0.02830376,0.08803117,0.17789862,0.35718384,0.43139967,0.00000356,0.06903960,0.08517487,0.01256043,0.00689745,0.00091255,0.00000135,0.00000043,0.00000052,0.00000356,0,0.2546788205194261,0.017773021200798943,0.01685772360292841,0.43981239199638367,0.4615536332130432,0,0.43981239199638367,0.4615536332130432,0
00:00:00:05.005,51,0.40041143,0.11619036,0.01720129,0.44692570,0.17868263,0.79415989,0.00271263,0.36225554,0.12185788,0.45474225,0.00362248,0.15971930,0.72791815,0.00100859,0.00109590,0.00245557,0.00081669,0.37790391,0.01218055,0.00499652,0.00264907,0.00138300,0.00005409,0.69624543,0.75966287,0.00165272,0.00234960,0.04084051,0.02808836,0.00206283,0.02910947,0.01958794,0.02099203,0.00481110,0.00302129,0.02951446,0.03929099,0.14880307,0.28365093,0.40212852,0.46730268,0.00000421,0.05832319,0.07595147,0.01346945,0.00837881,0.00100818,0.00000170,0.00000056,0.00000072,0.00000421,0,0.2626425462524058,0.016169313535080766,0.015797669181372306,0.44050854444503784,0.4604659676551819,0,0.44050854444503784,0.4604659676551819,0
00:00:00:06.006,51,0.40123841,0.15298590,0.03231391,0.26745817,0.15043470,0.80063397,0.00274196,0.38344124,0.15676019,0.28966779,0.00913787,0.13402340,0.77653646,0.00101357,0.00114571,0.00229867,0.00088561,0.35543373,0.00921227,0.00573599,0.00279425,0.00097582,0.00007393,0.70199883,0.75724137,0.00132435,0.00174726,0.03300956,0.02889191,0.00237753,0.02348940,0.01856291,0.02083535,0.00410540,0.00290458,0.02925278,0.04317069,0.19685926,0.34078339,0.41143718,0.46323165,0.00000444,0.07151514,0.07897574,0.01356352,0.00759623,0.00101423,0.00000170,0.00000050,0.00000060,0.00000444,0,0.26186638751344693,0.015051592428702252,0.011993671618273966,0.43774479627609253,0.45908939838409424,0,0.43774479627609253,0.45908939838409424,0
00:00:00:07.007,51,0.38441381,0.12249251,0.02706699,0.30522043,0.18840395,0.83587861,0.00292401,0.36189404,0.12745568,0.31120023,0.00832857,0.17515343,0.78830564,0.00113405,0.00111789,0.00145504,0.00094143,0.34686592,0.01132085,0.00700730,0.00430668,0.00062787,0.00012703,0.68547904,0.74221563,0.00096471,0.00131722,0.02855143,0.02013197,0.00224388,0.02743493,0.01584211,0.01805353,0.00318006,0.00242156,0.02320460,0.03490792,0.16317877,0.29163885,0.45252788,0.48620433,0.00000373,0.04720465,0.12330809,0.01491255,0.00937893,0.00090294,0.00000170,0.00000048,0.00000054,0.00000373,0,0.2584545273948244,0.011343181454220653,0.01722295465531924,0.43731439113616943,0.4587739408016205,0,0.43731439113616943,0.4587739408016205,0
00:00:00:08.008,51,0.41032264,0.15471643,0.02575503,0.31296808,0.13924703,0.80213094,0.00272814,0.36138573,0.15457904,0.31797767,0.00762015,0.13582638,0.76973182,0.00103619,0.00120217,0.00094962,0.00062041,0.22804439,0.01355820,0.00732196,0.00628864,0.00070395,0.00011034,0.65484917,0.67743742,0.00199823,0.00256826,0.01879013,0.00949470,0.00304439,0.03599534,0.02469052,0.01509596,0.00402382,0.00279108,0.02408698,0.02357711,0.11975037,0.26461720,0.51118946,0.57531989,0.00000341,0.06642295,0.09263886,0.01035867,0.00768383,0.00068939,0.00000194,0.00000056,0.00000045,0.00000341,0,0.2519030046316697,0.012138668727098897,0.029006312102762045,0.43689385056495667,0.46079808473587036,0,0.43689385056495667,0.46079808473587036,0
00:00:00:09.009,51,0.47016612,0.20335168,0.02090231,0.27768400,0.10101570,0.82537562,0.00264381,0.46799484,0.22410935,0.27575362,0.01503799,0.08633583,0.74237770,0.00057551,0.00128683,0.00036618,0.00048967,0.09257759,0.01017622,0.00849739,0.00751158,0.00091882,0.00017695,0.73877847,0.70643520,0.00063021,0.00087650,0.02165222,0.00664604,0.00214629,0.02552926,0.02000048,0.02287568,0.00361615,0.00370852,0.04422790,0.02741612,0.07440834,0.19551913,0.58289641,0.58113468,0.00000419,0.11385977,0.06763269,0.00734349,0.00600499,0.00074098,0.00000127,0.00000053,0.00000052,0.00000419,0,0.23510710719551248,0.01978629722615192,0.02799795978611312,0.4357289969921112,0.46200889348983765,0,0.4357289969921112,0.46200889348983765,0
00:00:00:10.010,51,0.42641675,0.18572427,0.01934151,0.31355798,0.10479447,0.81932926,0.00326319,0.42635870,0.21112023,0.30739835,0.01256493,0.09142494,0.73789942,0.00060665,0.00084343,0.00026519,0.00027765,0.03629996,0.00524207,0.00610934,0.00787618,0.00148322,0.00018145,0.74324715,0.68276155,0.00058322,0.00086272,0.01648674,0.00387296,0.00152838,0.02704098,0.01834808,0.02434238,0.00591704,0.00726545,0.04229036,0.01986859,0.02470573,0.07044287,0.58398378,0.51073903,0.00000404,0.11247611,0.06979039,0.00649940,0.00465168,0.00051454,0.00000131,0.00000045,0.00000070,0.00000404,0,0.19253545689785367,0.026114670466859047,0.03543303202816078,0.4365205466747284,0.4623151123523712,0,0.4365205466747284,0.4623151123523712,0
