Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:01.001,51,166.36321176,0.80236995,0.10087682,0.08962741,0.00554916,0.4601863440016885,0.0,166.17002121,0.81693071,0.22300906,0.02319978,0.00227832,0.4032178370323271,0.0,7.242e-05,0.00157266,0.01309216,0.31503517490306604,0.01427629,0.19677217,0.95267057,0.00336394,0.00561362,1.84e-06,1.97e-06,7.14e-06,9.6e-06,0.0010611952934544001,0.00260718305719404,9.224999999631002e-05,0.00034241666665297003,0.02308497,0.03805113,0.01047567200053176,0.0043367515,0.00028646,0.00228676,0.0057446,0.00382781,0.00017074,0.00033727,0.0,0.0,2.556541889093412,0.82455862,0.76558262,1.965e-05,6.912499999999999e-07,1.4874999999999998e-07,1.35e-06,7e-08,0,0.0490516386299511,0.0685454302752873,-0.0114991159676087,0.4624242484569549,0.6102195978164673,0,0.4624242484569549,0.6102195978164673,0
00:00:00:02.002,51,166.92641382,0.83876646,0.16688412,0.0574985,0.00440644,0.48126703324369874,0.0,168.33207978,0.84100509,0.24943712,0.02714746,0.0019907,0.4245518834456399,0.0,6.581e-05,0.00239306,0.03201341,0.49496929068103507,0.01813373,0.18214577,0.97306335,0.00238907,0.01591817,7.5e-07,7.2e-07,2.98e-06,3.1e-06,0.0019069119988081801,0.00793153505386632,6.049999999758001e-05,6.174999999753001e-05,0.02080723,0.05975298,0.00895404400045452,0.0013028255,0.00020719,0.00224701,0.00402817,0.00216287,2.751e-05,4.399e-05,0.0,0.0,2.6120601390978537,0.86843127,0.86982054,1.866e-05,4.900000000000001e-07,1.3125e-07,9.9e-07,4e-08,0,0.0456020484261264,0.0686992796099032,-0.0176167800868505,0.4626278281211853,0.6102593541145325,0,0.4626278281211853,0.6102593541145325,0
00:00:00:03.003,51,166.85232288,0.83721083,0.16988014,0.055153,0.00445213,0.4806095708931329,0.0,167.83336542,0.84383851,0.2387293,0.02929342,0.00192942,0.4203348097406642,0.0,6.601e-05,0.00236825,0.03302471,0.49695832318042304,0.01792836,0.1819734,0.97306931,0.00244022,0.01586282,7.4e-07,7.1e-07,2.92e-06,3.06e-06,0.0019757383517063397,0.00793130728916058,5.774999999769e-05,6.216666666418e-05,0.02111147,0.06102898,0.00910910488935128,0.00134051,0.0002075,0.00225606,0.00397695,0.00215116,2.757e-05,4.445e-05,0.0,0.0,2.612766777986799,0.86617517,0.86790568,1.856e-05,4.987500000000001e-07,1.4e-07,1.01e-06,4e-08,0,0.04558820169696,0.070467893504687,-0.0177729737201295,0.4625356793403625,0.6103136539459229,0,0.4625356793403625,0.6103136539459229,0
00:00:00:04.004,51,156.22045785,0.77858442,0.20304146,0.03880849,0.00671498,0.4912185738806685,0.0,158.2517493,0.8283397,0.21959624,0.0345426,0.00205393,0.41149400376499534,0.0,5.57e-05,0.00270964,0.04576515,0.6228336831416921,0.01849978,0.1241056,0.97030151,0.00262902,0.01457736,5.7e-07,5e-07,5.4e-06,5.44e-06,0.00162406211663202,0.007026115760314559,7.433333333036e-05,6.033333333092001e-05,0.02419285,0.06133736,0.013767848445143319,0.001468197,0.00022677,0.00239005,0.00315048,0.00178075,1.757e-05,2.727e-05,0.0,0.0,2.6454513335449694,0.88292193,0.89213306,2.102e-05,5.425e-07,1.575e-07,1.16e-06,4e-08,0,0.0521393199091633,0.0654211451164951,-0.0179009701429627,0.4609965085983276,0.6110743880271912,0,0.4609965085983276,0.6110743880271912,0
00:00:00:05.005,51,75.20804423999999,0.42208478,0.1074421,0.08981379,0.03902236,0.423949960138896,0.0,96.43298688,0.54684103,0.25408185,0.01995089,0.01029193,0.30913934141933896,0.0,3.56e-05,0.00213853,0.05242743,0.6399432431364277,0.03193899,0.06865005,0.97955739,0.00248417,0.01225209,1.7e-07,1.2e-07,6.92e-06,6.54e-06,0.0008079623524362,0.0055593355259371795,7.58333333303e-05,4.2749999998290005e-05,0.04659571,0.13539359,0.023454294667857235,0.001016575,0.00020986,0.00277682,0.00239188,0.00105748,6.38e-06,1.006e-05,0.0,0.0,2.574366666872616,0.82867044,0.78202242,1.797e-05,3.5875e-07,1.3125e-07,8.5e-07,3e-08,0,0.0341816675741093,0.0744635583089229,-0.0192317237777529,0.4627646803855896,0.6059440970420837,0,0.4627646803855896,0.6059440970420837,0
00:00:00:06.006,51,40.66888479,0.15990388,0.11662249,0.07052115,0.09877061,0.3211759358410686,0.0,40.931485529999996,0.19722652,0.11809347,0.05376749,0.05558306,0.2556690663223187,0.0,4.002e-05,0.00147068,0.06288086,0.5078438515104069,0.04467936,0.07357495,0.98651779,0.0009563,0.03171863,1.3e-07,9e-08,2.92e-06,2.74e-06,0.00061380894079284,0.00420736376207628,5.0916666664630006e-05,3.099999999876e-05,0.04919775,0.20471275,0.01927837622320082,0.0009341019999999999,0.0001797,0.00335742,0.00240411,0.0008726,4.43e-06,7.29e-06,0.0,0.0,2.593561500207485,0.78010988,0.72770423,1.489e-05,3.7625e-07,1.3125e-07,6.4e-07,3e-08,0,0.0506868754721387,0.0768445577405045,-0.0154170827906623,0.4605295956134796,0.5981007814407349,0,0.4605295956134796,0.5981007814407349,0
00:00:00:07.007,51,32.696268780000004,0.09398382,0.11811021,0.05390076,0.14037633,0.2570143774776323,0.0,25.04725731,0.10469028,0.07934388,0.07541563,0.10515545,0.247096672099625,0.0,4.898e-05,0.00101229,0.04434585,0.3295404015652696,0.04587126,0.0693344,0.98183692,0.00075561,0.03021495,1.4e-07,1.2e-07,3e-06,3.58e-06,0.00041566682326962,0.00240572046908466,3.616666666522e-05,6.141666666421e-05,0.08166056,0.26855379,0.020705006445495458,0.0017151165,0.00025227,0.00547639,0.00357934,0.00116019,6.2e-06,1.002e-05,0.0,0.0,2.522227166868445,0.72296923,0.62793028,1.472e-05,4.900000000000001e-07,1.4e-07,6.1e-07,4e-08,0,0.0330965686111214,0.0805785774043337,-0.012989892321937,0.4591937363147735,0.5938469171524048,0,0.4591937363147735,0.5938469171524048,0
00:00:00:08.008,51,32.77982076,0.10593402,0.12225157,0.04896557,0.11139046,0.24436687668143006,0.0,19.0167615,0.12051791,0.08898493,0.05754714,0.0840765,0.1977235193131639,0.0,5.404e-05,0.00049622,0.03783087,0.2282339257631075,0.03159981,0.0643534,0.96609217,0.00042943,0.03642034,2.7e-07,2.1e-07,7.78e-06,1.024e-05,0.00039572329387032,0.00118571482278834,6.358333333079e-05,0.00012699999999492,0.09617209,0.25535399,0.02417194377900478,0.0041875675,0.00037027,0.00435434,0.00280152,0.00112807,1.49e-05,2.196e-05,0.0,0.0,2.5534944446487238,0.6503973,0.52604604,1.374e-05,6.037499999999999e-07,1.75e-07,7.2e-07,5e-08,0,0.0334083951988777,0.0765562413157397,-0.0078363273741068,0.4589991271495819,0.5926462411880493,0,0.4589991271495819,0.5926462411880493,0
00:00:00:09.009,51,30.758544930000003,0.07765367,0.11901237,0.04032069,0.12921903,0.23467039739902967,0.0,11.7565983,0.08611243,0.07221006,0.06393323,0.11944201,0.13899336632795134,0.0,9.009e-05,0.00045802,0.01337816,0.25253037325563166,0.01527356,0.03004871,0.52699769,0.00029531,0.00819458,3.98e-06,3.97e-06,0.00011926,0.00018808,0.00035964047036346,0.00052807905849348,0.00037849999998486,0.00209941666658269,0.04618927,0.05795192,0.024445817556796458,0.010629767,0.00187364,0.01249736,0.00805192,0.00438104,0.0001219,0.00014604,0.0,0.0,2.485567833532179,0.60221279,0.48109272,2.355e-05,8.8375e-07,2.1875e-07,1.09e-06,1.7e-07,0,0.0342758493675649,0.07916968882973,-0.0105297760131264,0.4586664140224457,0.5899926424026489,0,0.4586664140224457,0.5899926424026489,0
00:00:00:10.010,51,27.64551438,0.05399021,0.10473585,0.04726546,0.16303882,0.21951831333601612,0.0,10.65978837,0.05898426,0.07167081,0.05913967,0.17419493,0.13197180776255327,0.0,0.00023864,0.000367,0.00801979,0.3793857815499325,0.01044865,0.0209874,0.05855349,0.0001805,0.00324431,0.00019005,0.00021975,0.00050392,0.00096446,0.00097345317586218,0.00050718305850654,0.00246399999990144,0.03608266666522336,0.01299992,0.00865782,0.01295401955621312,0.0167899155,0.00910962,0.02959793,0.02784554,0.02404319,0.0018821,0.00150829,0.0,0.0,2.427509583527534,0.61145276,0.43961233,6.251e-05,1.295e-06,2.8875e-07,1.89e-06,5.1e-07,0,0.0324165277709939,0.0742093408634038,-0.0128690871470292,0.4582229554653168,0.5878519415855408,0,0.4582229554653168,0.5878519415855408,0
