Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:01.001,51,0.03700702,0.08057713,0.08316020,0.05502881,0.13510397,0.38875574,0.01717424,0.02245270,0.07415815,0.04452582,0.08358386,0.15841760,0.51605225,0.02883127,0.00128085,0.00009133,0.00305772,0.12745355,0.00184331,0.06240667,0.02761588,0.00043716,0.00033728,0.07487994,0.07703185,0.00144693,0.00190575,0.00328204,0.00168411,0.02450828,0.06505837,0.00134822,0.00141131,0.00040660,0.02454564,0.00677665,0.00785985,0.10358024,0.12098613,0.29009601,0.28279594,0.00000559,0.03369414,0.10912821,0.05643429,0.02786103,0.00019315,0.00000300,0.00000055,0.00000210,0.00000559,0,0.045584895204153396,0.0703317754377996,-0.026922507780808146,0.4038303792476654,0.5481905341148376,0,0.4038303792476654,0.5481905341148376,0
00:00:00:02.002,51,0.02509063,0.06669529,0.05897699,0.06883010,0.17698681,0.39950725,0.02647015,0.01675686,0.06389609,0.06194678,0.06598779,0.19745091,0.54046804,0.03974141,0.00169140,0.00030348,0.00445492,0.25374860,0.00160058,0.04807173,0.02552607,0.00044953,0.00033202,0.22641331,0.26307821,0.00085558,0.00100638,0.00630233,0.00412105,0.02810229,0.07110334,0.00126755,0.00157213,0.00042961,0.02202806,0.00697566,0.01086795,0.30297008,0.34251621,0.23138547,0.25584573,0.00000673,0.01860469,0.11856071,0.11765168,0.05095247,0.00046695,0.00000303,0.00000078,0.00000267,0.00000673,0,0.06546287679229823,0.07203872361603386,-0.023499150496946772,0.403872013092041,0.5493972301483154,0,0.403872013092041,0.5493972301483154,0
00:00:00:03.003,51,0.02256694,0.06416392,0.05009617,0.07784041,0.18551214,0.37703010,0.02908114,0.01614137,0.06058450,0.06824919,0.06296826,0.20512228,0.53901517,0.04221693,0.00175464,0.00032169,0.00421239,0.24560422,0.00153340,0.05320286,0.02960608,0.00038773,0.00041190,0.23932682,0.27070129,0.00076639,0.00088022,0.00617193,0.00383144,0.02814557,0.06477388,0.00123779,0.00155148,0.00041958,0.02279680,0.00699905,0.01041245,0.31011510,0.35663855,0.23560721,0.26134464,0.00000663,0.01571463,0.12436890,0.14636295,0.05981588,0.00047907,0.00000306,0.00000078,0.00000270,0.00000663,0,0.06462956637229697,0.0702964123749734,-0.023563499429098415,0.40362727642059326,0.5493389368057251,0,0.40362727642059326,0.5493389368057251,0
00:00:00:04.004,51,0.02911574,0.05605440,0.05497961,0.07188822,0.21327619,0.42540452,0.02332569,0.02318003,0.04953698,0.06347490,0.06336308,0.23010011,0.63314617,0.03132500,0.00145322,0.00068482,0.00245914,0.32067183,0.00160578,0.04249886,0.02591317,0.00033374,0.00040843,0.28843504,0.29109353,0.00098619,0.00109154,0.00837679,0.00522321,0.03865118,0.04274290,0.00118968,0.00121580,0.00051175,0.02135719,0.00768042,0.01004175,0.28583980,0.32283130,0.24210338,0.26180238,0.00000635,0.01916206,0.11035325,0.11105659,0.04914775,0.00051121,0.00000332,0.00000060,0.00000231,0.00000635,0,0.07424324046040436,0.06284997444065692,-0.02353183513719844,0.4037952125072479,0.5480334162712097,0,0.4037952125072479,0.5480334162712097,0
00:00:00:05.005,51,0.02824266,0.05333084,0.07110925,0.05346002,0.22246511,0.38952404,0.02200482,0.02078736,0.04491124,0.05323926,0.07800928,0.24107888,0.63499224,0.03403248,0.00141466,0.00063728,0.00300909,0.33124530,0.00183400,0.03809493,0.02600237,0.00031232,0.00043463,0.34406888,0.34184054,0.00082488,0.00094899,0.00841213,0.00424995,0.03452057,0.04620501,0.00129049,0.00157114,0.00056985,0.01983098,0.00746865,0.00932913,0.26272175,0.30852616,0.25617525,0.25830412,0.00000614,0.01750490,0.10614321,0.10722293,0.04859856,0.00049936,0.00000327,0.00000064,0.00000209,0.00000614,0,0.07346299798728395,0.0690124282183158,-0.026162542259469596,0.4042654037475586,0.5469678640365601,0,0.4042654037475586,0.5469678640365601,0
00:00:00:06.006,51,0.03305545,0.05522142,0.06028588,0.06790452,0.21135600,0.45733786,0.02072645,0.02270992,0.05010970,0.05882274,0.06743906,0.22785753,0.59883916,0.03095715,0.00146529,0.00038837,0.00374733,0.31097031,0.00199084,0.04018206,0.02041731,0.00028514,0.00042224,0.22733277,0.23709917,0.00219017,0.00256032,0.00678504,0.00397093,0.05408319,0.07703058,0.00147149,0.00136917,0.00061880,0.02653803,0.00849558,0.01141991,0.21847504,0.25098062,0.24410190,0.26547489,0.00000780,0.02005654,0.11721810,0.08871812,0.04352531,0.00048067,0.00000418,0.00000072,0.00000245,0.00000780,0,0.07614478396777315,0.0673386952092285,-0.026619573946457704,0.4041430652141571,0.5466260313987732,0,0.4041430652141571,0.5466260313987732,0
00:00:00:07.007,51,0.04825381,0.06162464,0.10849708,0.04425371,0.17743427,0.42855132,0.01318083,0.02834189,0.05659095,0.03247902,0.11524796,0.19832450,0.53100079,0.02382248,0.00169357,0.00021822,0.00359273,0.22024179,0.00215382,0.03983993,0.02006352,0.00040666,0.00031800,0.23106375,0.24893181,0.00182636,0.00200855,0.00440408,0.00377807,0.05417618,0.08819038,0.00203638,0.00180153,0.00063937,0.02226997,0.00858938,0.01457534,0.24396904,0.26188156,0.34018448,0.37479734,0.00000668,0.02414048,0.12702738,0.06211964,0.03530756,0.00041744,0.00000422,0.00000071,0.00000199,0.00000668,0,0.06451682739154316,0.06977728520948209,-0.028047093316539942,0.4038151204586029,0.5461987257003784,0,0.4038151204586029,0.5461987257003784,0
00:00:00:08.008,51,0.06258757,0.08424673,0.12204184,0.04282868,0.12815708,0.42921695,0.01123577,0.02860616,0.07998172,0.02915520,0.12521961,0.14753971,0.48139367,0.02146833,0.00167760,0.00007849,0.00388252,0.11053529,0.00147062,0.04516382,0.02044849,0.00016526,0.00073162,0.11017458,0.12236293,0.00215390,0.00247024,0.00234459,0.00216124,0.03676617,0.07609680,0.00171463,0.00155681,0.00051064,0.02689529,0.00761335,0.01577935,0.17804250,0.18541598,0.31615126,0.34028605,0.00000633,0.03358359,0.10069946,0.04817562,0.03103353,0.00027480,0.00000309,0.00000055,0.00000214,0.00000633,0,0.057003258148272104,0.07288133385245997,-0.02767774965630427,0.403548926115036,0.5463069081306458,0,0.403548926115036,0.5463069081306458,0
00:00:00:09.009,51,0.03736910,0.09535541,0.09865040,0.04963504,0.11114939,0.37915105,0.01875196,0.01923510,0.09688960,0.03577610,0.10743540,0.12037890,0.36651632,0.03057675,0.00176315,0.00007424,0.00331331,0.07852498,0.00095663,0.05557078,0.02947356,0.00013450,0.00099558,0.07938355,0.08425344,0.00175350,0.00221848,0.00284177,0.00158783,0.02410062,0.06573094,0.00148906,0.00122862,0.00049437,0.03273972,0.00685873,0.01138560,0.19877435,0.22034660,0.35126758,0.33753008,0.00000581,0.02082619,0.13556430,0.06708886,0.04871709,0.00026262,0.00000256,0.00000058,0.00000281,0.00000581,0,0.048333409939307015,0.0751701919395722,-0.028698092271770424,0.40399134159088135,0.5490397214889526,0,0.40399134159088135,0.5490397214889526,0
00:00:00:10.010,51,0.03796808,0.07762007,0.14344689,0.03569495,0.12914827,0.40346628,0.01848627,0.01910776,0.07687060,0.02354992,0.13449188,0.14462316,0.42481020,0.02711944,0.00137377,0.00006400,0.00339510,0.07597825,0.00095451,0.03747281,0.01892836,0.00012164,0.00103628,0.04800960,0.05192684,0.00192161,0.00246312,0.00260449,0.00151568,0.01642887,0.05014724,0.00181664,0.00133644,0.00063556,0.03250042,0.00837428,0.01496778,0.17842896,0.19697489,0.34568223,0.32722691,0.00000582,0.03374809,0.11419167,0.06387448,0.04032478,0.00023259,0.00000234,0.00000051,0.00000258,0.00000582,0,0.05402118580944359,0.0803187077558774,-0.029329322274682042,0.40337935090065,0.5485146045684814,0,0.40337935090065,0.5485146045684814,0
