Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:01.001,51,41.70361705586552,0.80236995,0.10087682,0.08962741,0.00554916,0.6739989451754859,0.0,41.655188412112025,0.81693071,0.22300906,0.02319978,0.00227832,0.5905616287360589,0.0,7.242e-05,0.00157266,0.01309216,0.2621911898671884,0.01427629,0.19677217,0.11511436022410981,0.00336394,0.00561362,4.2782397244e-06,4.580506661450001e-06,3.6550000006800003e-06,4.9142857152e-06,0.0039506900532912,0.00970619850530692,2.4446249996310003e-05,9.074041665297001e-05,0.02308497,0.03805113,0.00916941748227444,0.0021261779154843,0.00028646,0.00228676,0.0057446,0.00382781,0.00017074,0.00033727,1.835135134e-08,2.2755675661599996e-06,0.7097851361117844,0.82455862,0.76558262,1.965e-05,1.07927177042e-06,2.3224835566e-07,4.8502994400000006e-08,2.5149700800000004e-09,0,0.04905163862995115,0.06854543027528733,-0.011499115967608772,0.462424248456955,0.6102195978164673,0,0.462424248456955,0.6102195978164673,0
00:00:00:02.002,51,41.84479948908999,0.83876646,0.16688412,0.0574985,0.00440644,0.7048741819092273,0.0,42.19716918840112,0.84100509,0.24943712,0.02714746,0.0019907,0.6218079379026015,0.0,6.581e-05,0.00239306,0.03201341,0.41194316574747597,0.01813373,0.18214577,0.11757848780064555,0.00238907,0.01591817,1.7438477137500001e-06,1.6740938052e-06,1.52547619076e-06,1.5869047622e-06,0.00709918175538614,0.02952805844307736,1.603249999758e-05,1.6363749997530002e-05,0.02080723,0.05975298,0.00783752752001538,0.0006387358846431,0.00020719,0.00224701,0.00402817,0.00216287,2.751e-05,4.399e-05,1.0486486479999999e-08,1.4340270261399999e-06,0.7251989373892845,0.86843127,0.86982054,1.866e-05,7.650534068800001e-07,2.049250197e-07,3.5568862560000006e-08,1.4371257600000001e-09,0,0.04560204842612645,0.0686992796099032,-0.017616780086850532,0.4626278281211853,0.6102593541145325,0,0.4626278281211853,0.6102593541145325,0
00:00:00:03.003,51,41.82622651158865,0.83721083,0.16988014,0.055153,0.00445213,0.7039112482269267,0.0,42.07215241053496,0.84383851,0.2387293,0.02929342,0.00192942,0.6156315198799265,0.0,6.601e-05,0.00236825,0.03302471,0.41359855803139955,0.01792836,0.1819734,0.11757920796731022,0.00244022,0.01586282,1.7205964109000002e-06,1.65084250235e-06,1.4947619050400001e-06,1.56642857172e-06,0.00735541318561982,0.029527210505131338,1.530374999769e-05,1.647416666418e-05,0.02111147,0.06102898,0.00797325323053732,0.000657211453662,0.0002075,0.00225606,0.00397695,0.00215116,2.757e-05,4.445e-05,1.0486486479999999e-08,1.3842162153599999e-06,0.7253951249745971,0.86617517,0.86790568,1.856e-05,7.787150748600001e-07,2.1858668768e-07,3.6287425440000005e-08,1.4371257600000001e-09,0,0.04558820169696007,0.07046789350468709,-0.017772973720129582,0.4625356793403626,0.6103136539459229,0,0.4625356793403626,0.6103136539459229,0
00:00:00:04.004,51,39.16105058050354,0.77858442,0.20304146,0.03880849,0.00671498,0.7194494251332287,0.0,39.67025090107598,0.8283397,0.21959624,0.0345426,0.00205393,0.6026830828396478,0.0,5.57e-05,0.00270964,0.04576515,0.5183595911870168,0.01849978,0.1241056,0.11724476546823283,0.00262902,0.01457736,1.3253242624500002e-06,1.1625651425e-06,2.7642857148e-06,2.78476190528e-06,0.00604616896595846,0.026157301882850877,1.969833333036e-05,1.5988333330920002e-05,0.02419285,0.06133736,0.012051078939832581,0.0007198125225713999,0.00022677,0.00239005,0.00315048,0.00178075,1.757e-05,2.727e-05,1.0486486479999999e-08,1.2714864857e-06,0.7344694968104664,0.88292193,0.89213306,2.102e-05,8.4702341476e-07,2.4591002364000003e-07,4.167664704e-08,1.4371257600000001e-09,0,0.05213931990916339,0.06542114511649519,-0.017900970142962703,0.4609965085983277,0.6110743880271912,0,0.4609965085983277,0.6110743880271912,0
00:00:00:05.005,51,18.85301109136,0.42208478,0.1074421,0.08981379,0.03902236,0.6209263479138719,0.0,24.17363979602953,0.54684103,0.25408185,0.01995089,0.01029193,0.45277221444040583,0.0,3.56e-05,0.00213853,0.05242743,0.5325991944138757,0.03193899,0.06865005,0.11836318429848086,0.00248417,0.01225209,3.9527214845e-07,2.790156342e-07,3.54238095304e-06,3.3478571434800003e-06,0.0030079372278525997,0.02069667261125314,2.0095833330299998e-05,1.132874999829e-05,0.04659571,0.13539359,0.02052968244432906,0.000498395934015,0.00020986,0.00277682,0.00239188,0.00105748,6.38e-06,1.006e-05,7.864864859999999e-09,2.21789189052e-06,0.71473391570196,0.82867044,0.78202242,1.797e-05,5.6012838718e-07,2.049250197e-07,3.05389224e-08,1.0778443199999999e-09,0,0.034181667574109384,0.07446355830892293,-0.01923172377775297,0.4627646803855896,0.6059440970420837,0,0.4627646803855896,0.6059440970420837,0
00:00:00:06.006,51,10.194799555913995,0.15990388,0.11662249,0.07052115,0.09877061,0.4704012728631416,0.0,10.2606278155616,0.19722652,0.11809347,0.05376749,0.05558306,0.37445848461468445,0.0,4.002e-05,0.00147068,0.06288086,0.42265814836460486,0.04467936,0.07357495,0.11920423262949406,0.0009563,0.03171863,3.0226693705e-07,2.0926172565e-07,1.4947619050400001e-06,1.40261904788e-06,0.00228512969475932,0.01566346012646244,1.349291666463e-05,8.21499999876e-06,0.04919775,0.20471275,0.01687447640226883,0.00045796191993239995,0.0001797,0.00335742,0.00240411,0.0008726,4.43e-06,7.29e-06,7.864864859999999e-09,2.2205135121399998e-06,0.7200630704673702,0.78010988,0.72770423,1.489e-05,5.8745172314e-07,2.049250197e-07,2.2994012160000002e-08,1.0778443199999999e-09,0,0.05068687547213874,0.07684455774050457,-0.015417082790662338,0.4605295956134796,0.5981007814407349,0,0.4605295956134796,0.5981007814407349,0
00:00:00:07.007,51,8.196239168091253,0.09398382,0.11811021,0.05390076,0.14037633,0.37642885664208825,0.0,6.278799357774363,0.10469028,0.07934388,0.07541563,0.10515545,0.36190316927550786,0.0,4.898e-05,0.00101229,0.04434585,0.2742633105090393,0.04587126,0.0693344,0.11863862750605436,0.00075561,0.03021495,3.2551823990000007e-07,2.790156342e-07,1.5357142860000001e-06,1.83261904796e-06,0.0015474727359832598,0.00895617987267318,9.584166665220001e-06,1.627541666421e-05,0.08166056,0.26855379,0.01812321424938599,0.0008408696750973,0.00025227,0.00547639,0.00357934,0.00116019,6.2e-06,1.002e-05,1.0486486479999999e-08,3.42645945734e-06,0.7002581731901154,0.72296923,0.62793028,1.472e-05,7.650534068800001e-07,2.1858668768e-07,2.191616784e-08,1.4371257600000001e-09,0,0.03309656861112141,0.08057857740433376,-0.012989892321937079,0.4591937363147736,0.5938469171524048,0,0.4591937363147736,0.5938469171524048,0
00:00:00:08.008,51,8.21718382130705,0.10593402,0.12225157,0.04896557,0.11139046,0.35790505143392,0.0,4.767086009272456,0.12051791,0.08898493,0.05754714,0.0840765,0.28959017404690374,0.0,5.404e-05,0.00049622,0.03783087,0.18994997806927846,0.03159981,0.0643534,0.11673613688630262,0.00042943,0.03642034,6.2778517695e-07,4.882773598500001e-07,3.98261904836e-06,5.24190476288e-06,0.0014732256075693602,0.00441425983070582,1.684958333079e-05,3.365499999492e-05,0.09617209,0.25535399,0.021157844943647572,0.0020530375185435,0.00037027,0.00435434,0.00280152,0.00112807,1.49e-05,2.196e-05,1.3108108099999999e-08,3.1905135115399998e-06,0.70893905931594,0.6503973,0.52604604,1.374e-05,9.4265509062e-07,2.732333596e-07,2.586826368e-08,1.7964072e-09,0,0.033408395198877734,0.07655624131573974,-0.007836327374106809,0.4589991271495819,0.5926462411880493,0,0.4589991271495819,0.5926462411880493,0
00:00:00:09.009,51,7.710494197520499,0.07765367,0.11901237,0.04032069,0.12921903,0.34370337662666006,0.0,2.947121951998311,0.08611243,0.07221006,0.06393323,0.11944201,0.20357271247293982,0.0,9.009e-05,0.00045802,0.01337816,0.21017094063185793,0.01527356,0.03004871,0.06367888736600076,0.00029531,0.00819458,9.2540185343e-06,9.23076723145e-06,6.104976191612e-05,9.627904763696e-05,0.00133889401676558,0.00196596865497804,0.00010030249998486001,0.00055634541658269,0.04618927,0.05795192,0.02139756827651749,0.005211452821805399,0.00187364,0.01249736,0.00805192,0.00438104,0.0001219,0.00014604,4.456756753999999e-08,3.2245945926e-06,0.6900802645030506,0.60221279,0.48109272,2.355e-05,1.37982846598e-06,3.415416995e-07,3.916167696e-08,6.10778448e-09,0,0.034275849367565,0.07916968882973002,-0.010529776013126406,0.4586664140224457,0.5899926424026489,0,0.4586664140224457,0.5899926424026489,0
00:00:00:10.010,51,6.930125553714205,0.05399021,0.10473585,0.04726546,0.16303882,0.3215113042003563,0.0,2.6721757014427627,0.05898426,0.07167081,0.05913967,0.17419493,0.19328878482438525,0.0,0.00023864,0.000367,0.00801979,0.3157476288604175,0.01044865,0.0209874,0.00707521335548217,0.0001805,0.00324431,0.00044189101066425006,0.0005109473801287501,0.00025795904766704,0.00049371166675852,0.00362403772702814,0.0018881756042444199,0.00065295999990144,0.009561906665223361,0.01299992,0.00865782,0.01133872971380128,0.008231587062101099,0.00910962,0.02959793,0.02784554,0.02404319,0.0018821,0.00150829,1.3370270261999997e-07,4.278486483839999e-06,0.6739612706943585,0.61145276,0.43961233,6.251e-05,2.0219268610400003e-06,4.5083504334000003e-07,6.790419216e-08,1.832335344e-08,0,0.03241652777099395,0.07420934086340382,-0.01286908714702924,0.4582229554653168,0.5878519415855408,0,0.4582229554653168,0.5878519415855408,0
00:00:00:11.011,51,3.7658176358073696,0.06403201,0.12196423,0.04105984,0.13910064,0.20639988386891872,0.0,1.183555891692521,0.07056826,0.08457547,0.05498745,0.14112559,0.09401723393946883,0.0,0.00030238,0.00080791,0.00688276,0.44574221657326196,0.00717737,0.04144355,0.009021235391780501,0.00029163,0.0023333,0.0012494320099476,0.0016803251543638,0.00020263238099008001,0.00041922952388752,0.00603691172606844,0.00303233821899344,0.0008117833332108,0.017026492914096632,0.00557654,0.00437875,0.00757657549046868,0.0110924613532545,0.00799423,0.02686044,0.03555525,0.03652549,0.00320512,0.00303634,1.6254054043999997e-07,3.0174864846199997e-06,0.6894304215649947,0.65916216,0.53130049,8.194e-05,2.4591002364e-06,7.2406840294e-07,1.0994012064e-07,2.2275449280000002e-08,0,0.04506032650053109,0.07447499019233521,-0.011892934681713926,0.4577314555644989,0.5873077511787415,0,0.4577314555644989,0.5873077511787415,0
00:00:00:12.012,51,3.4667322179286515,0.0523534,0.12105224,0.05057963,0.18092674,0.21630605492428934,0.0,0.8600633641691853,0.05350371,0.12273194,0.03366303,0.18415591,0.11218411344415274,0.0,0.00050416,0.00096986,0.00648778,0.5221521627740506,0.00733372,0.05524027,0.0055670695679759,0.00038066,0.00185387,0.007698483122332151,0.01023450272418165,0.00011070452383012,0.0002267226190898,0.02026490401069008,0.0071507658150609605,0.00159236291642631,0.021988993330014243,0.00268385,0.00314841,0.0035613629406858003,0.007116295778640601,0.0152069,0.03346488,0.04699467,0.05860197,0.00436457,0.00370341,1.8351351339999997e-07,3.61259459236e-06,0.6855706569806927,0.65859401,0.5229733,0.00013397,2.3224835566000003e-06,9.9730176254e-07,1.2682634832000001e-07,2.51497008e-08,0,0.04479199826769669,0.07692500977360933,-0.010338598409782808,0.4587187767028809,0.5875634551048279,0,0.4587187767028809,0.5875634551048279,0
00:00:00:13.013,51,3.618392918832449,0.0449402,0.14009662,0.03993575,0.22451009,0.1878238999049513,0.0,1.0152714788232389,0.03933178,0.10336517,0.04666295,0.24129732,0.16950221863018444,0.0,0.00079783,0.00091221,0.00665109,0.5712538390053045,0.0053797,0.075628,0.00547760335988937,0.00050628,0.00127098,0.0216067381994195,0.0319130641981048,0.00014703952383688003,0.00028127119052852,0.028621199321436402,0.015326870808402221,0.0028260041662401,0.03244699749510234,0.00159382,0.00183873,0.0022666806760317103,0.007659941891268901,0.01306402,0.03403964,0.07895631,0.09586715,0.00901868,0.00862209,2.490540539e-07,4.5406486458399996e-06,0.6824910617625375,0.69660223,0.50150824,0.00018394,3.29246198318e-06,9.9730176254e-07,1.5017964192e-07,3.41317368e-08,0,0.0497032150694709,0.0804830062248396,-0.013021410085732524,0.4580049514770508,0.5881637334823608,0,0.4580049514770508,0.5881637334823608,0
00:00:00:14.014,51,2.834563600918763,0.07957739,0.19133121,0.02587667,0.14409097,0.18541342245162734,0.0,0.767212735233916,0.05078626,0.1227999,0.04212292,0.21212219,0.1618072185952522,0.0,0.0010455,0.00064316,0.01188256,0.6149422905935545,0.00346738,0.06093315,0.00341814299057064,0.00034928,0.00138899,0.03974875325855481,0.06051014384025686,0.00026935404766916,0.00047068619056376,0.03405625029962114,0.02730403634244444,0.00421038624936447,0.03505989749470794,0.00143094,0.0016091,0.00240018388762359,0.0094009173441942,0.01376289,0.04398452,0.12805617,0.15240711,0.01187327,0.01230689,3.3556756735999996e-07,7.86224323838e-06,0.6628185963110222,0.62636244,0.45190054,0.00025909,3.4154169950000003e-06,1.2568734541600001e-06,1.70658684e-07,4.5988024320000004e-08,0,0.053167712903764236,0.07784511902012572,-0.013131960096983772,0.4580893814563751,0.5900811553001404,0,0.4580893814563751,0.5900811553001404,0
00:00:00:15.015,51,2.2996443821301753,0.05276376,0.12016132,0.05059412,0.20648383,0.16461523437210854,0.0,0.5158085743229233,0.03924442,0.14637773,0.02731017,0.25179484,0.12010229674817373,0.0,0.00091554,0.00086283,0.00743999,0.6008387050134404,0.00252498,0.04893452,0.00283762340883874,0.00044765,0.00113146,0.040329780065473456,0.0580152092905433,0.00052145690485892,0.00090585642873996,0.03508300504372868,0.027533806502561,0.0053105116658650805,0.03348895541161173,0.00190758,0.00155962,0.00457570378857577,0.015500938916929198,0.0160212,0.04520918,0.15623888,0.17886828,0.02906772,0.02959944,3.408108106e-07,5.806891888299999e-06,0.6936056564651424,0.66316497,0.47468755,0.00029553,4.61764377724e-06,1.42081346992e-06,2.0730539088e-07,4.6706587200000003e-08,0,0.055494539120216235,0.07790516460535774,-0.014350270764747031,0.4587044715881348,0.5925614833831787,0,0.4587044715881348,0.5925614833831787,0
