Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:01.001,51,0.70195448,0.80236995,0.10087682,0.08962741,0.00554916,0.79659843,0.00154360,0.70113933,0.81693071,0.22300906,0.02319978,0.00227832,0.69798398,0.00034565,0.00007242,0.00157266,0.01309216,0.29080170,0.01427629,0.19677217,0.95267057,0.00336394,0.00561362,0.00000184,0.00000197,0.00000357,0.00000480,0.00563760,0.01385066,0.00001107,0.00004109,0.02308497,0.03805113,0.00239292,0.00234419,0.00028646,0.00228676,0.00574460,0.00382781,0.00017074,0.00033727,0.00000007,0.00000868,0.92035508,0.82455862,0.76558262,0.00001965,0.00000079,0.00000017,0.00000135,0.00000007,0,0.04905163862995115,0.06854543027528733,-0.011499115967608773,0.46242424845695496,0.6102195978164673,0,0.46242424845695496,0.6102195978164673,0
00:00:00:02.002,51,0.70433086,0.83876646,0.16688412,0.05749850,0.00440644,0.83308983,0.00174793,0.71026194,0.84100509,0.24943712,0.02714746,0.00199070,0.73491395,0.00047736,0.00006581,0.00239306,0.03201341,0.45689473,0.01813373,0.18214577,0.97306335,0.00238907,0.01591817,0.00000075,0.00000072,0.00000149,0.00000155,0.01013047,0.04213628,0.00000726,0.00000741,0.02080723,0.05975298,0.00204534,0.00070423,0.00020719,0.00224701,0.00402817,0.00216287,0.00002751,0.00004399,0.00000004,0.00000547,0.94034165,0.86843127,0.86982054,0.00001866,0.00000056,0.00000015,0.00000099,0.00000004,0,0.045602048426126446,0.0686992796099032,-0.017616780086850532,0.4626278281211853,0.6102593541145325,0,0.4626278281211853,0.6102593541145325,0
00:00:00:03.003,51,0.70401824,0.83721083,0.16988014,0.05515300,0.00445213,0.83195174,0.00176397,0.70815766,0.84383851,0.23872930,0.02929342,0.00192942,0.72761405,0.00047925,0.00006601,0.00236825,0.03302471,0.45873076,0.01792836,0.18197340,0.97306931,0.00244022,0.01586282,0.00000074,0.00000071,0.00000146,0.00000153,0.01049611,0.04213507,0.00000693,0.00000746,0.02111147,0.06102898,0.00208076,0.00072460,0.00020750,0.00225606,0.00397695,0.00215116,0.00002757,0.00004445,0.00000004,0.00000528,0.94059604,0.86617517,0.86790568,0.00001856,0.00000057,0.00000016,0.00000101,0.00000004,0,0.04558820169696007,0.07046789350468709,-0.017772973720129582,0.46253567934036255,0.6103136539459229,0,0.46253567934036255,0.6103136539459229,0
00:00:00:04.004,51,0.65915805,0.77858442,0.20304146,0.03880849,0.00671498,0.85031629,0.00206477,0.66772890,0.82833970,0.21959624,0.03454260,0.00205393,0.71231031,0.00061700,0.00005570,0.00270964,0.04576515,0.57492340,0.01849978,0.12410560,0.97030151,0.00262902,0.01457736,0.00000057,0.00000050,0.00000270,0.00000272,0.00862783,0.03732624,0.00000892,0.00000724,0.02419285,0.06133736,0.00314494,0.00079362,0.00022677,0.00239005,0.00315048,0.00178075,0.00001757,0.00002727,0.00000004,0.00000485,0.95236248,0.88292193,0.89213306,0.00002102,0.00000062,0.00000018,0.00000116,0.00000004,0,0.05213931990916339,0.06542114511649519,-0.017900970142962703,0.46099650859832764,0.6110743880271912,0,0.46099650859832764,0.6110743880271912,0
00:00:00:05.005,51,0.31733352,0.42208478,0.10744210,0.08981379,0.03902236,0.73387200,0.00647093,0.40689024,0.54684103,0.25408185,0.01995089,0.01029193,0.53513086,0.00248846,0.00003560,0.00213853,0.05242743,0.59071684,0.03193899,0.06865005,0.97955739,0.00248417,0.01225209,0.00000017,0.00000012,0.00000346,0.00000327,0.00429230,0.02953397,0.00000910,0.00000513,0.04659571,0.13539359,0.00535758,0.00054950,0.00020986,0.00277682,0.00239188,0.00105748,0.00000638,0.00001006,0.00000003,0.00000846,0.92677200,0.82867044,0.78202242,0.00001797,0.00000041,0.00000015,0.00000085,0.00000003,0,0.034181667574109384,0.07446355830892293,-0.019231723777752972,0.4627646803855896,0.6059440970420837,0,0.4627646803855896,0.6059440970420837,0
00:00:00:06.006,51,0.17159867,0.15990388,0.11662249,0.07052115,0.09877061,0.55596662,0.01194308,0.17270669,0.19722652,0.11809347,0.05376749,0.05558306,0.44257197,0.00850139,0.00004002,0.00147068,0.06288086,0.46877894,0.04467936,0.07357495,0.98651779,0.00095630,0.03171863,0.00000013,0.00000009,0.00000146,0.00000137,0.00326086,0.02235162,0.00000611,0.00000372,0.04919775,0.20471275,0.00440369,0.00050492,0.00017970,0.00335742,0.00240411,0.00087260,0.00000443,0.00000729,0.00000003,0.00000847,0.93368214,0.78010988,0.72770423,0.00001489,0.00000043,0.00000015,0.00000064,0.00000003,0,0.050686875472138744,0.07684455774050458,-0.015417082790662335,0.4605295956134796,0.5981007814407349,0,0.4605295956134796,0.5981007814407349,0
00:00:00:07.007,51,0.13795894,0.09398382,0.11811021,0.05390076,0.14037633,0.44490075,0.01176940,0.10568463,0.10469028,0.07934388,0.07541563,0.10515545,0.42773286,0.01323975,0.00004898,0.00101229,0.04434585,0.30419114,0.04587126,0.06933440,0.98183692,0.00075561,0.03021495,0.00000014,0.00000012,0.00000150,0.00000179,0.00220823,0.01278039,0.00000434,0.00000737,0.08166056,0.26855379,0.00472957,0.00092709,0.00025227,0.00547639,0.00357934,0.00116019,0.00000620,0.00001002,0.00000004,0.00001307,0.90800178,0.72296923,0.62793028,0.00001472,0.00000056,0.00000016,0.00000061,0.00000004,0,0.03309656861112141,0.08057857740433376,-0.01298989232193708,0.45919373631477356,0.5938469171524048,0,0.45919373631477356,0.5938469171524048,0
00:00:00:08.008,51,0.13831148,0.10593402,0.12225157,0.04896557,0.11139046,0.42300749,0.01074728,0.08023950,0.12051791,0.08898493,0.05754714,0.08407650,0.34226623,0.01456536,0.00005404,0.00049622,0.03783087,0.21067747,0.03159981,0.06435340,0.96609217,0.00042943,0.03642034,0.00000027,0.00000021,0.00000389,0.00000512,0.00210228,0.00629911,0.00000763,0.00001524,0.09617209,0.25535399,0.00552151,0.00226355,0.00037027,0.00435434,0.00280152,0.00112807,0.00001490,0.00002196,0.00000005,0.00001217,0.91925800,0.65039730,0.52604604,0.00001374,0.00000069,0.00000020,0.00000072,0.00000005,0,0.03340839519887773,0.07655624131573974,-0.00783632737410681,0.4589991271495819,0.5926462411880493,0,0.4589991271495819,0.5926462411880493,0
00:00:00:09.009,51,0.12978289,0.07765367,0.11901237,0.04032069,0.12921903,0.40622255,0.00862365,0.04960590,0.08611243,0.07221006,0.06393323,0.11944201,0.24060231,0.01362968,0.00009009,0.00045802,0.01337816,0.23310496,0.01527356,0.03004871,0.52699769,0.00029531,0.00819458,0.00000398,0.00000397,0.00005963,0.00009404,0.00191059,0.00280542,0.00004542,0.00025193,0.04618927,0.05795192,0.00558407,0.00574582,0.00187364,0.01249736,0.00805192,0.00438104,0.00012190,0.00014604,0.00000017,0.00001230,0.89480442,0.60221279,0.48109272,0.00002355,0.00000101,0.00000025,0.00000109,0.00000017,0,0.034275849367564996,0.07916968882973002,-0.010529776013126406,0.4586664140224457,0.5899926424026489,0,0.4586664140224457,0.5899926424026489,0
00:00:00:10.010,51,0.11664774,0.05399021,0.10473585,0.04726546,0.16303882,0.37999377,0.00805642,0.04497801,0.05898426,0.07167081,0.05913967,0.17419493,0.22844775,0.01176305,0.00023864,0.00036700,0.00801979,0.35020226,0.01044865,0.02098740,0.05855349,0.00018050,0.00324431,0.00019005,0.00021975,0.00025196,0.00048223,0.00517147,0.00269441,0.00029568,0.00432992,0.01299992,0.00865782,0.00295904,0.00907563,0.00910962,0.02959793,0.02784554,0.02404319,0.00188210,0.00150829,0.00000051,0.00001632,0.87390345,0.61145276,0.43961233,0.00006251,0.00000148,0.00000033,0.00000189,0.00000051,0,0.03241652777099395,0.07420934086340382,-0.012869087147029239,0.4582229554653168,0.5878519415855408,0,0.4582229554653168,0.5878519415855408,0
