Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:01.001,51,0.031268738627017435,0.08432487,0.03665384,0.11702219,0.18349877,0.4756452919502414,0.0,0.020642377536697558,0.07236685,0.12067539,0.03408173,0.17851341,0.46041721187473544,0.0,0.00132151,0.00614568,0.00063021,0.14230280788594507,0.00467579,0.00449194,0.0,0.00565512,4.03e-05,1.6507858995851092,1.796856676338029,0.00042018738119955,0.00044061976216394996,0.00819678095587636,0.01365912331172898,0.0027831625,0.0081100075,0.01333566,0.04229163,0.0068744537644923895,0.0033548565272673602,0.04617945,0.08573657,0.28737372,0.36906207,0.2273659,0.29499215,1.4785945936799998e-06,2.2485648634739997e-05,0.13306529240470516,0.67045391,0.46244112,0.00125182,1.1476956518459999e-05,1.5886956517199997e-06,0.0,0.0,0,0.13837454943117536,0.025749907339593814,-0.07416156470216068,0.4764479994773865,0.4162321090698242,0,0.4764479994773865,0.4162321090698242,0
00:00:00:02.002,51,0.03194817112822532,0.09885638,0.04356137,0.10998415,0.18084458,0.454159313296443,0.0,0.028024093978392037,0.08286523,0.11889944,0.03879633,0.17582227,0.4964131762977857,0.0,0.00187838,0.00628174,0.00085052,0.1417367662493119,0.0031998,0.00541934,0.0,0.0043743,4.274e-05,1.7855930233255233,1.9251781803191435,0.0005297604765021,0.0005568957146133,0.01132972468627568,0.01896946408825864,0.0042039425,0.0096761275,0.00935038,0.03258086,0.006508074588033179,0.0030107547233568,0.04377019,0.08314572,0.44549805,0.52991784,0.28669322,0.39181057,1.6280270260199998e-06,3.9866999975339994e-05,0.1292427517811621,0.69376516,0.36517879,0.00141702,1.106608695336e-05,1.93108695597e-06,0.0,0.0,0,0.13812805495349556,0.0196043068627641,-0.07757117944143029,0.4763069450855255,0.4155175685882568,0,0.4763069450855255,0.4155175685882568,0
00:00:00:03.003,51,0.03160814791333512,0.0988574,0.04093452,0.11618755,0.18179855,0.45657592539677444,0.0,0.028362738264708358,0.08382105,0.13047551,0.0352595,0.17510867,0.4976970535223501,0.0,0.00192239,0.00658854,0.00080412,0.140615236430596,0.00318686,0.00536294,0.0,0.00492045,3.786e-05,1.793866667301763,1.9361521009219989,0.0005363904765059999,0.0005498690479424999,0.011200863376419401,0.02063137075789728,0.0043747575,0.0091506325,0.00919188,0.03350275,0.00635179094097921,0.00298266398682264,0.04252046,0.08136354,0.45484683,0.53563666,0.28780612,0.40300635,1.5729729719999998e-06,3.931908105676e-05,0.1288439178806286,0.69657975,0.35975474,0.00142133,1.0846956518639999e-05,1.8626086951199996e-06,0.0,0.0,0,0.14146901181415925,0.019027385158552058,-0.07800402349745958,0.476601243019104,0.4157156646251679,0,0.476601243019104,0.4157156646251679,0
00:00:00:04.004,51,0.03251580112923443,0.1053649,0.03369481,0.14492658,0.17505564,0.4564094574251969,0.0,0.02517101361617704,0.09175181,0.16246092,0.02693414,0.163063,0.4710059280699182,0.0,0.00233727,0.00729509,0.00077849,0.13618114370121182,0.00273755,0.0069498,0.0,0.00499,3.728e-05,1.8435539360989612,1.9609084500796308,0.0005558109527079,0.0005588223812811,0.011599032486410442,0.022850253783444262,0.00581471,0.00891434,0.00783621,0.03044547,0.00575249211746841,0.0028960981798557602,0.04257946,0.07699163,0.53910923,0.60972238,0.34671625,0.46192563,1.5965675665799998e-06,3.352005403332e-05,0.131884723732155,0.7094667,0.38896304,0.00148921,1.210695651828e-05,2.1502173906899998e-06,0.0,0.0,0,0.15516620881542076,0.011723961247349788,-0.0813818658390326,0.4775142669677734,0.4171463847160339,0,0.4775142669677734,0.4171463847160339,0
00:00:00:05.005,51,0.03245670648627223,0.09592214,0.03984923,0.11961,0.18492183,0.44281371631812677,0.0,0.0226949786117752,0.08195863,0.13320173,0.03471189,0.17777942,0.46719146543538115,0.0,0.00242512,0.00568126,0.00084981,0.12365570133161094,0.00246752,0.00800211,0.0,0.00490501,4.844e-05,1.8768322204376622,1.9836902658636881,0.00024442357157234996,0.00025003761919469995,0.01393309527541034,0.02509705157705616,0.004417785,0.00762243,0.0071503,0.03240156,0.00496311858808116,0.00288117813462768,0.04959059,0.09061278,0.57203114,0.6640898,0.41293859,0.52562392,1.6647297286999999e-06,6.541994590548e-05,0.12269905767133286,0.64688027,0.33353466,0.00142174,1.0627826083919999e-05,2.2186956515399996e-06,0.0,0.0,0,0.14750897526263415,0.01502996116291302,-0.08040432115105743,0.4770720601081848,0.4179205298423767,0,0.4770720601081848,0.4179205298423767,0
00:00:00:06.006,51,0.035028623633701676,0.1235599,0.04063799,0.12006979,0.14870012,0.42994072965966085,0.0,0.024571957543683475,0.10411172,0.14064771,0.03217699,0.14098106,0.46897059888784454,0.0,0.00236759,0.00527036,0.00083157,0.12019128551177939,0.00277553,0.00793163,0.0,0.0030153,7.336e-05,1.8880927641730592,2.001958313213828,0.00027322642873215,0.0002699357144445,0.01103952845477362,0.020388538354926503,0.0049355425,0.0075147225,0.00777427,0.03794611,0.005129251646899529,0.0029910608856482403,0.04739065,0.09428341,0.53030372,0.62575024,0.42938912,0.55401027,1.5388918909399997e-06,5.7827729693959994e-05,0.12196126385368614,0.65267706,0.35626614,0.00136415,1.0148478257969999e-05,2.08173912984e-06,0.0,0.0,0,0.1595200820750657,0.012831862581173829,-0.07880924968501678,0.4767642021179199,0.4189987182617188,0,0.4767642021179199,0.4189987182617188,0
00:00:00:07.007,51,0.032188432557223874,0.0855848,0.04722505,0.09915134,0.18888333,0.4491845793092628,0.0,0.018065802889259838,0.06656598,0.1025237,0.04257537,0.19587895,0.4559772492400206,0.0,0.00167469,0.00364038,0.00057444,0.1111630418711166,0.00475419,0.00535902,0.0,0.00339699,8.028e-05,1.8196056667003984,1.916224601523599,0.0003880614287997,0.00039947166690165,0.0066485896026416,0.009667492026711742,0.00560181,0.011481885,0.01284513,0.04204219,0.0075688372938825885,0.00317957126428296,0.05829847,0.09698616,0.31678641,0.44365111,0.47866181,0.56109577,1.48908108016e-06,5.525591888473999e-05,0.1263461921952387,0.60936189,0.36254632,0.00113534,1.327108695273e-05,2.35565217324e-06,0.0,0.0,0,0.13422383802850732,0.016599021836682246,-0.07851569587960992,0.4758793711662293,0.4187183380126953,0,0.4758793711662293,0.4187183380126953,0
00:00:00:08.008,51,0.039460419713008996,0.13189182,0.05697777,0.08433094,0.1209181,0.4501480277081133,0.0,0.02117729575193424,0.10399745,0.08002304,0.05682639,0.12666106,0.4283654333958676,0.0,0.00214991,0.00110838,0.00083695,0.05821700566408602,0.00487417,0.00280269,0.0,0.00452639,6.349e-05,1.6692068711521222,1.7244150293471352,0.0006116600003598001,0.0006146714289329999,0.0047269391757535405,0.0061809695928728,0.006053205,0.01849622,0.03212635,0.07474386,0.01292326164665748,0.00335103904826424,0.09382288,0.11745046,0.2830081,0.44969434,0.51129198,0.57477355,1.6411351341199998e-06,7.211294590133999e-05,0.12110070219367924,0.5332967,0.31372717,0.00112948,1.272326086593e-05,3.67043478156e-06,0.0,0.0,0,0.09931821211661204,0.008671772921661103,-0.07214101961280188,0.4756003618240357,0.4213197827339173,0,0.4756003618240357,0.4213197827339173,0
00:00:00:09.009,51,0.04385564043510843,0.09936168,0.05649828,0.08454002,0.14391658,0.4505809485267418,0.0,0.02315475968402116,0.07816831,0.08164728,0.05273671,0.15889008,0.43863782040946564,0.0,0.00203934,0.00076521,0.00053979,0.03011157928706612,0.0035917,0.00274389,0.0,0.01080341,3.538e-05,1.6751937960921244,1.579905679341267,0.00039333547642184997,0.0003956304764232,0.0041607097211963,0.0053389977985783404,0.0042756,0.0131540775,0.03112661,0.09386767,0.009301140470299379,0.00411398283053952,0.10678086,0.09282836,0.20192233,0.39322004,0.4084658,0.39317191,1.56772972876e-06,7.017294590254e-05,0.11856514746263497,0.45770258,0.30632845,0.00089071,1.0983913040339999e-05,2.90347826004e-06,0.0,0.0,0,0.07117409157994922,0.01073987705654418,-0.06858400979073913,0.4763069748878479,0.4214953184127808,0,0.4763069748878479,0.4214953184127808,0
00:00:00:10.010,51,0.039891741499490076,0.11858034,0.04539938,0.09452951,0.11649529,0.45701491561042246,0.0,0.021711551824312596,0.09766188,0.09198634,0.04470601,0.12310638,0.466333062410226,0.0,0.0014967,0.00052139,0.0007524,0.03062990128731294,0.00328163,0.00282066,0.0,0.00673748,6.042e-05,1.4087732746355222,1.267486631015327,0.00015104500008884998,0.00018221571439289998,0.00750153471934462,0.004362266784394481,0.0018715,0.013010545,0.02414683,0.10562561,0.00559872764688495,0.00573186308666832,0.10750355,0.08162775,0.09860594,0.20595784,0.20843942,0.16810033,1.5624864855199997e-06,4.792848645683999e-05,0.11776021323003052,0.47481328,0.3296746,0.00073413,7.190217389249999e-06,2.3145652167299995e-06,0.0,0.0,0,0.04343598540328718,0.012205850673563551,-0.06844143353019963,0.4764574468135834,0.4217310547828674,0,0.4764574468135834,0.4217310547828674,0
