Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:01.001,51,0.21784186933412358,0.21072045,0.06741463,0.09177615,0.09570581,0.6691836242458663,0.0040533,0.19615888932930514,0.22787395,0.09659998,0.06651016,0.09257944,0.564825651831451,0.00158736,0.00200463,5.173e-05,0.0035622,0.05608721460518694,0.00612235,0.00555975,0.0,0.00192569,6.75e-05,1.8702404904859724,1.9002543690161031,0.00254565,0.00245511,0.00858931243409488,0.0179199270304954,0.00745808,0.01931599,0.03880284,0.02860405,0.00838326472403482,0.0015360024764734502,0.06819037,0.10463958,0.19810824698727864,0.24515477477522865,0.58039486,0.71676058,5.17e-06,0.37433159,0.0,0.00095077,0.00102164,0.00091581,1.76611111096e-06,7.569047618399999e-07,0.0,0.0,0,0.2895582092133438,0.1100533496433331,-0.06053156281231941,0.5034525394439697,0.4481549263000488,0,0.5034525394439697,0.4481549263000488,0
00:00:00:02.002,51,0.24731986505495995,0.28661448,0.09678794,0.06592333,0.07559061,0.6461935996138631,0.00370027,0.2195080971916367,0.3012642,0.08762396,0.0853001,0.06707346,0.6062080080368253,0.00157711,0.00342207,5.542e-05,0.00216263,0.04269820922300592,0.00507441,0.00641552,0.0,0.00128576,0.0001036,1.9986189653419888,2.108837147991687,0.00416081,0.00369609,0.00807933729886104,0.0230123891936432,0.03617981,0.08000892,0.0298823,0.02126717,0.008713972779661879,0.0011143266050759998,0.10503114,0.17481378,0.29050677450725665,0.35244470257620425,0.65957266,0.8313027,4.63e-06,0.33243394,0.0,0.00150543,0.00162245,0.00084772,2.56753968232e-06,1.35055555544e-06,0.0,0.0,0,0.2915856456602378,0.10329490833067496,-0.06377277393321201,0.5042451024055481,0.4490563273429871,0,0.5042451024055481,0.4490563273429871,0
00:00:00:03.003,51,0.24659384791194147,0.28558099,0.09418701,0.06815757,0.07585018,0.6456040819278127,0.00371741,0.21679477719103374,0.30022731,0.0885141,0.08407078,0.06789928,0.6038333452265047,0.00163498,0.00344683,5.465e-05,0.00222243,0.0429170922998892,0.00500933,0.00619769,0.0,0.00131848,0.00010195,2.0033109531362188,2.1058988075504406,0.00412564,0.00366783,0.00816524081239118,0.02305726378824648,0.03730835,0.08040112,0.03037277,0.02261984,0.008779822501898338,0.00110934247663755,0.10977803,0.17853758,0.2944541708969991,0.36147907480037983,0.6663093,0.83352399,4.73e-06,0.34131476,0.0,0.00146369,0.00157338,0.00086394,2.56753968232e-06,1.39507936496e-06,0.0,0.0,0,0.29177659670322736,0.10335340464124076,-0.06395974283219419,0.5041835904121399,0.4488675892353058,0,0.5041835904121399,0.4488675892353058,0
00:00:00:04.004,51,0.24589796791178684,0.24326156,0.12184583,0.05982749,0.09106072,0.6527178382926571,0.00397836,0.21244683861863894,0.27828056,0.05888383,0.12243315,0.08508031,0.5843425558017074,0.00195665,0.0034372,4.473e-05,0.0024994,0.04026839383883232,0.00537247,0.00500621,0.0,0.0010403,0.0001676,2.060021230637577,2.1500414754926744,0.00294319,0.00271954,0.01070454297504482,0.02489462541022372,0.03966112,0.10466615,0.03802942,0.03608488,0.011588235558061119,0.00114117220139595,0.17731152,0.26871327,0.288022481451164,0.37460146396988375,0.73342788,0.85965693,5.71e-06,0.39564842,0.0,0.00113068,0.00161624,0.00105005,2.8346825394399998e-06,1.86999999984e-06,0.0,0.0,0,0.2858353067815543,0.10145329515323084,-0.0657914613576612,0.5032324194908142,0.4473965466022492,0,0.5032324194908142,0.4473965466022492,0
00:00:00:05.005,51,0.24563298219744226,0.2477625,0.11923416,0.05558741,0.09016734,0.6456251768038493,0.00392593,0.215385428619292,0.28807917,0.06939439,0.11110831,0.08031148,0.6024623710113958,0.00192419,0.00374667,5.133e-05,0.00245662,0.04391161076124684,0.00513166,0.00532963,0.0,0.0011679,0.00016133,2.105124443285716,2.213019410347124,0.00260457,0.00236429,0.012126571623968699,0.02889963270829618,0.04993453,0.12378985,0.03351685,0.03892092,0.01071734805787282,0.0010877779812329999,0.1921223,0.30285561,0.3366143039616703,0.42731318509239197,0.75094122,0.88889158,5.34e-06,0.37135166,0.0,0.0013415,0.00183961,0.00105959,2.7753174600800003e-06,2.13714285696e-06,0.0,0.0,0,0.29031673897314064,0.09808876960102486,-0.06488673875551572,0.5036563873291016,0.4480233192443848,0,0.5036563873291016,0.4480233192443848,0
00:00:00:06.006,51,0.25919444577188444,0.34897506,0.10775369,0.0586838,0.05797987,0.6206435961384501,0.00330989,0.199611090044358,0.35484394,0.07057501,0.10403585,0.05208205,0.5868572612566798,0.00217347,0.00348376,4.359e-05,0.00911184,0.08920906921454941,0.00620006,0.0069781,0.0,0.0006943,0.00024512,2.0042480687244764,2.117269616521301,0.00393434,0.00358891,0.011689806759019301,0.02969319081655788,0.04112912,0.09940152,0.03624686,0.03368739,0.014009001669695638,0.0014171311921155,0.16000369,0.29901946,0.40750775314366533,0.4716511484353119,0.78840864,0.90271181,7e-06,0.4750506,0.0,0.00113618,0.00155545,0.00122108,3.25023809496e-06,2.70111111088e-06,0.0,0.0,0,0.3018806428768876,0.10667425820589037,-0.0644521314856224,0.5031906366348267,0.4478186964988709,0,0.5031906366348267,0.4478186964988709,0
00:00:00:07.007,51,0.25132405505584976,0.35887405,0.09732638,0.06463651,0.05791366,0.6193767997745986,0.00322763,0.21690802290534464,0.36481404,0.10032395,0.06901877,0.05003269,0.6041801667141669,0.00211169,0.00391936,0.00010195,0.01824644,0.23634948611087353,0.0049715,0.0162123,0.0,0.00055839,0.00023009,1.895296114457161,2.058271807402241,0.00211086,0.00213165,0.0128594283808673,0.02824529811357494,0.0310839,0.11223778,0.01067238,0.01865866,0.00410654777866568,0.0012798225683151,0.06015066,0.14300884,0.5850464359598299,0.6065814020755972,0.71796143,0.85558712,6.58e-06,0.44034046,0.0,0.0014762,0.00124556,0.00119098,2.70111111088e-06,2.18166666648e-06,0.0,0.0,0,0.3256182373780961,0.10582089662122562,-0.0637518133059043,0.5041644573211671,0.4473995864391327,0,0.5041644573211671,0.4473995864391327,0
00:00:00:08.008,51,0.22523624362148106,0.30764231,0.10243234,0.0579248,0.07114673,0.6186923551463832,0.00358955,0.18496595575538924,0.31869337,0.09099572,0.08446655,0.06696174,0.5702675691877469,0.00361192,0.00376371,8.853e-05,0.03614632,0.33409253301617897,0.00331501,0.02106553,0.0,0.00107775,0.00013923,1.9949026259301348,2.1451322649043214,0.00239375,0.00270954,0.024923036491310297,0.051639867037021836,0.0295376,0.11084934,0.00689087,0.0153075,0.0038621011119461595,0.0017638877057435999,0.05346893,0.12336221,0.6073075270757541,0.6054725942975796,0.7002477,0.84757268,9.55e-06,0.40152481,0.0,0.00186576,0.00132688,0.00132788,3.2057142854400003e-06,2.6269047616799998e-06,0.0,0.0,0,0.3356478910326958,0.09856821385973973,-0.058921023571140214,0.5032345652580261,0.4470471739768982,0,0.5032345652580261,0.4470471739768982,0
00:00:00:09.009,51,0.2302179879083024,0.28502977,0.13771242,0.04309488,0.07727128,0.6027139501849923,0.00344835,0.179534063611325,0.29123917,0.0700233,0.11297966,0.07617197,0.5595735971198152,0.00391887,0.00344922,0.00013105,0.02551016,0.35283455301277133,0.00305159,0.024103,0.0,0.00085037,0.00015542,1.978392195488563,2.146512790051413,0.00295965,0.0033678,0.025225202707585,0.0557402202810587,0.02559385,0.09632684,0.00621472,0.00884635,0.004202069445352999,0.0019580719258524,0.04433015,0.11319783,0.5962752062400354,0.6072976604090854,0.67771208,0.83849585,9.08e-06,0.37102515,0.0,0.00209036,0.00148921,0.00127701,3.66579365048e-06,2.1519841268000003e-06,0.0,0.0,0,0.331621283308335,0.10036825665968648,-0.060811103520059924,0.5032966136932373,0.4461067020893097,0,0.5032966136932373,0.4461067020893097,0
00:00:00:10.010,51,0.2260996071931015,0.29116887,0.09737451,0.06261463,0.07707693,0.607406780433723,0.00358252,0.1922129421855711,0.30446079,0.09558053,0.07949927,0.07241156,0.5704051589398365,0.00348891,0.00346467,0.00012391,0.02782777,0.34330543916835005,0.00339372,0.01806089,0.0,0.00096787,0.00014018,1.9742566124002285,2.1413680357865843,0.00324973,0.00368261,0.02731064811339404,0.05691941001101666,0.02645595,0.09889658,0.00856266,0.01414723,0.0052891397233658195,0.0019328042194401,0.05890815,0.13836126,0.600497152907615,0.5988044029072489,0.68180811,0.84630811,9.57e-06,0.37633219,0.0,0.00199133,0.0014016,0.00136904,3.4876984123999997e-06,2.4339682537599997e-06,0.0,0.0,0,0.3381014158679061,0.09769397755668202,-0.05845324559254589,0.5037168264389038,0.4462335109710693,0,0.5037168264389038,0.4462335109710693,0
00:00:00:11.011,51,0.22331851719248347,0.3435823,0.11411777,0.05322894,0.06238871,0.604978022582071,0.00402144,0.1756400143247454,0.35039812,0.07152672,0.10330115,0.05601019,0.5476229030681992,0.00372062,0.00401187,7.512e-05,0.03897044,0.2915948961008289,0.00365055,0.01692549,0.0,0.00062327,0.00021087,1.876099415339054,2.0506807487255885,0.00273581,0.00305152,0.01863792054414788,0.03591977541235762,0.02837017,0.13790351,0.01027521,0.02002403,0.00480720444548384,0.0016976521094388,0.05731851,0.13216038,0.6115563501322283,0.6139468584660785,0.74799526,0.86269271,1.048e-05,0.41932052,0.0,0.00192298,0.00132014,0.00137648,3.3838095235200003e-06,3.05730158704e-06,0.0,0.0,0,0.3369874658061434,0.10195073285647006,-0.0645745929600919,0.5029146671295166,0.4463513493537903,0,0.5029146671295166,0.4463513493537903,0
00:00:00:12.012,51,0.25200849862743047,0.38037956,0.10789294,0.05929147,0.05632405,0.6136260807653576,0.0036781,0.1892349257563379,0.38719684,0.07706739,0.09743741,0.0494312,0.5596900919958682,0.00318319,0.00405415,6.091e-05,0.03663026,0.25576600918426634,0.00597848,0.01166913,0.0,0.00052586,0.00027455,1.9405158587229498,2.0774010188732874,0.00318465,0.00319117,0.015043671624533298,0.03145663838446676,0.04172046,0.15034227,0.01665263,0.03764464,0.006763291668129,0.00140501256826695,0.09906389,0.20458911,0.5422617326172456,0.5590897026208842,0.76195937,0.86937433,1.074e-05,0.45403448,0.0,0.00146694,0.00126823,0.00148775,3.53222222192e-06,3.6954761901599997e-06,0.0,0.0,0,0.3314431288086657,0.10341186044045016,-0.06563230588674553,0.5038304328918457,0.4461148977279663,0,0.5038304328918457,0.4461148977279663,0
