Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:01.001,51,0.33886513,0.21072045,0.06741463,0.09177615,0.09570581,0.76387942,0.00405330,0.30513605,0.22787395,0.09659998,0.06651016,0.09257944,0.64475381,0.00158736,0.00200463,0.00005173,0.00356220,0.06628489,0.00612235,0.00555975,0.00267307,0.00192569,0.00006750,0.76153505,0.77375627,0.00254565,0.00245511,0.01025176,0.02138830,0.00745808,0.01931599,0.03880284,0.02860405,0.00815669,0.00429293,0.06819037,0.10463958,0.19275397,0.23852897,0.58039486,0.71676058,0.00000517,0.37433159,0.01329102,0.00095077,0.00102164,0.00091581,0.00000119,0.00000051,0.00000034,0.00000517,0,0.2895582092133438,0.1100533496433331,-0.06053156281231941,0.5034525394439697,0.44815492630004883,0,0.5034525394439697,0.44815492630004883,0
00:00:00:02.002,51,0.38471979,0.28661448,0.09678794,0.06592333,0.07559061,0.73763609,0.00370027,0.34145704,0.30126420,0.08762396,0.08530010,0.06707346,0.69199216,0.00157711,0.00342207,0.00005542,0.00216263,0.05046152,0.00507441,0.00641552,0.00203602,0.00128576,0.00010360,0.81380892,0.85868818,0.00416081,0.00369609,0.00964308,0.02746640,0.03617981,0.08000892,0.02988230,0.02126717,0.00847846,0.00311440,0.10503114,0.17481378,0.28265524,0.34291917,0.65957266,0.83130270,0.00000463,0.33243394,0.01887138,0.00150543,0.00162245,0.00084772,0.00000173,0.00000091,0.00000041,0.00000463,0,0.2915856456602378,0.10329490833067495,-0.06377277393321201,0.5042451024055481,0.44905632734298706,0,0.5042451024055481,0.44905632734298706,0
00:00:00:03.003,51,0.38359043,0.28558099,0.09418701,0.06815757,0.07585018,0.73696315,0.00371741,0.33723632,0.30022731,0.08851410,0.08407078,0.06789928,0.68928146,0.00163498,0.00344683,0.00005465,0.00222243,0.05072020,0.00500933,0.00619769,0.00192446,0.00131848,0.00010195,0.81571943,0.85749173,0.00412564,0.00366783,0.00974561,0.02751996,0.03730835,0.08040112,0.03037277,0.02261984,0.00854253,0.00310047,0.10977803,0.17853758,0.28649595,0.35170937,0.66630930,0.83352399,0.00000473,0.34131476,0.01853845,0.00146369,0.00157338,0.00086394,0.00000173,0.00000094,0.00000041,0.00000473,0,0.29177659670322736,0.10335340464124075,-0.06395974283219419,0.5041835904121399,0.4488675892353058,0,0.5041835904121399,0.4488675892353058,0
00:00:00:04.004,51,0.38250795,0.24326156,0.12184583,0.05982749,0.09106072,0.74508357,0.00397836,0.33047286,0.27828056,0.05888383,0.12243315,0.08508031,0.66703254,0.00195665,0.00343720,0.00004473,0.00249940,0.04758992,0.00537247,0.00500621,0.00140514,0.00104030,0.00016760,0.83881104,0.87546599,0.00294319,0.00271954,0.01277639,0.02971294,0.03966112,0.10466615,0.03802942,0.03608488,0.01127504,0.00318943,0.17731152,0.26871327,0.28023809,0.36447710,0.73342788,0.85965693,0.00000571,0.39564842,0.01638934,0.00113068,0.00161624,0.00105005,0.00000191,0.00000126,0.00000042,0.00000571,0,0.2858353067815543,0.10145329515323084,-0.0657914613576612,0.5032324194908142,0.44739654660224915,0,0.5032324194908142,0.44739654660224915,0
00:00:00:05.005,51,0.38209575,0.24776250,0.11923416,0.05558741,0.09016734,0.73698723,0.00392593,0.33504400,0.28807917,0.06939439,0.11110831,0.08031148,0.68771648,0.00192419,0.00374667,0.00005133,0.00245662,0.05189554,0.00513166,0.00532963,0.00124566,0.00116790,0.00016133,0.85717642,0.90110970,0.00260457,0.00236429,0.01447365,0.03449311,0.04993453,0.12378985,0.03351685,0.03892092,0.01042769,0.00304020,0.19212230,0.30285561,0.32751662,0.41576418,0.75094122,0.88889158,0.00000534,0.37135166,0.01972421,0.00134150,0.00183961,0.00105959,0.00000187,0.00000144,0.00000046,0.00000534,0,0.29031673897314064,0.09808876960102486,-0.06488673875551573,0.5036563873291016,0.44802331924438477,0,0.5036563873291016,0.44802331924438477,0
00:00:00:06.006,51,0.40319136,0.34897506,0.10775369,0.05868380,0.05797987,0.70847052,0.00330989,0.31050614,0.35484394,0.07057501,0.10403585,0.05208205,0.66990310,0.00217347,0.00348376,0.00004359,0.00911184,0.10542890,0.00620006,0.00697810,0.00158994,0.00069430,0.00024512,0.81610101,0.86212176,0.00393434,0.00358891,0.01395235,0.03544026,0.04112912,0.09940152,0.03624686,0.03368739,0.01363038,0.00396070,0.16000369,0.29901946,0.39649403,0.45890382,0.78840864,0.90271181,0.00000700,0.47505060,0.01005582,0.00113618,0.00155545,0.00122108,0.00000219,0.00000182,0.00000045,0.00000700,0,0.3018806428768876,0.10667425820589037,-0.0644521314856224,0.5031906366348267,0.44781869649887085,0,0.5031906366348267,0.44781869649887085,0
00:00:00:07.007,51,0.39094853,0.35887405,0.09732638,0.06463651,0.05791366,0.70702446,0.00322763,0.33741248,0.36481404,0.10032395,0.06901877,0.05003269,0.68967736,0.00211169,0.00391936,0.00010195,0.01824644,0.27932212,0.00497150,0.01621230,0.00291088,0.00055839,0.00023009,0.77173734,0.83809870,0.00211086,0.00213165,0.01534835,0.03371213,0.03108390,0.11223778,0.01067238,0.01865866,0.00399556,0.00357694,0.06015066,0.14300884,0.56923437,0.59018731,0.71796143,0.85558712,0.00000658,0.44034046,0.01076625,0.00147620,0.00124556,0.00119098,0.00000182,0.00000147,0.00000069,0.00000658,0,0.3256182373780961,0.10582089662122562,-0.0637518133059043,0.504164457321167,0.4473995864391327,0,0.504164457321167,0.4473995864391327,0
00:00:00:08.008,51,0.35036749,0.30764231,0.10243234,0.05792480,0.07114673,0.70624316,0.00358955,0.28772482,0.31869337,0.09099572,0.08446655,0.06696174,0.65096581,0.00361192,0.00376371,0.00008853,0.03614632,0.39483663,0.00331501,0.02106553,0.00318537,0.00107775,0.00013923,0.81229568,0.87346703,0.00239375,0.00270954,0.02974685,0.06163468,0.02953760,0.11084934,0.00689087,0.01530750,0.00375772,0.00492984,0.05346893,0.12336221,0.59089381,0.58910847,0.70024770,0.84757268,0.00000955,0.40152481,0.01487248,0.00186576,0.00132688,0.00132788,0.00000216,0.00000177,0.00000101,0.00000955,0,0.3356478910326958,0.09856821385973971,-0.05892102357114021,0.5032345652580261,0.4470471739768982,0,0.5032345652580261,0.4470471739768982,0
00:00:00:09.009,51,0.35811687,0.28502977,0.13771242,0.04309488,0.07727128,0.68800366,0.00344835,0.27927521,0.29123917,0.07002330,0.11297966,0.07617197,0.63875854,0.00391887,0.00344922,0.00013105,0.02551016,0.41698629,0.00305159,0.02410300,0.00422289,0.00085037,0.00015542,0.80557287,0.87402916,0.00295965,0.00336780,0.03010750,0.06652865,0.02559385,0.09632684,0.00621472,0.00884635,0.00408850,0.00547256,0.04433015,0.11319783,0.58015966,0.59088421,0.67771208,0.83849585,0.00000908,0.37102515,0.01939863,0.00209036,0.00148921,0.00127701,0.00000247,0.00000145,0.00000099,0.00000908,0,0.331621283308335,0.10036825665968648,-0.06081110352005993,0.5032966136932373,0.4461067020893097,0,0.5032966136932373,0.4461067020893097,0
00:00:00:10.010,51,0.35171050,0.29116887,0.09737451,0.06261463,0.07707693,0.69336057,0.00358252,0.29899791,0.30446079,0.09558053,0.07949927,0.07241156,0.65112287,0.00348891,0.00346467,0.00012391,0.02782777,0.40572461,0.00339372,0.01806089,0.00278129,0.00096787,0.00014018,0.80388892,0.87193429,0.00324973,0.00368261,0.03259658,0.06793607,0.02645595,0.09889658,0.00856266,0.01414723,0.00514619,0.00540194,0.05890815,0.13836126,0.58426750,0.58262050,0.68180811,0.84630811,0.00000957,0.37633219,0.01931778,0.00199133,0.00140160,0.00136904,0.00000235,0.00000164,0.00000098,0.00000957,0,0.33810141586790615,0.09769397755668202,-0.05845324559254589,0.5037168264389038,0.44623351097106934,0,0.5037168264389038,0.44623351097106934,0
