Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:01.001,51,0.0,0.08057713,0.0831602,0.05502881,0.13510397,0.6225625731308212,0.0,0.0,0.07415815,0.04452582,0.08358386,0.1584176,0.8264181941852481,0.0,0.00128085,9.133e-05,0.00305772,0.02433204137522305,0.00184331,0.06240667,0.02761588,0.00043716,0.00033728,0.08886354325662071,0.09141731596756779,0.00241155000048231,0.00317625000063525,0.0008628043300999201,0.00044272994855778,0.0,0.0,0.00134822,0.00141131,0.0003205884617574,0.02454564,0.00677665,0.00785985,0.08166903544038936,0.09539291025745407,0.29009601,0.28279594,5.59e-06,0.03369414,0.10912821,0.05643429,0.02786103,0.00019315,1.0216216218000002e-05,1.8729729733000002e-06,2.1e-06,5.59e-06,0,0.0455848952041534,0.0703317754377996,-0.026922507780808142,0.4038303792476654,0.5481905341148376,0,0.4038303792476654,0.5481905341148376,0
00:00:00:02.002,51,0.0,0.06669529,0.05897699,0.0688301,0.17698681,0.6397802937762881,0.0,0.0,0.06389609,0.06194678,0.06598779,0.19745091,0.8655182137693237,0.0,0.0016914,0.00030348,0.00445492,0.0484429145685226,0.00160058,0.04807173,0.02552607,0.00044953,0.00033202,0.2686953136856103,0.3122072733259314,0.0014259666669518601,0.0016773000003354602,0.0016567980931733403,0.0010833688146879002,0.0,0.0,0.00126755,0.00157213,0.00033873096176979,0.02202806,0.00697566,0.01086795,0.2388802555477531,0.27006085806904717,0.23138547,0.25584573,6.73e-06,0.01860469,0.11856071,0.11765168,0.05095247,0.00046695,1.031837838018e-05,2.65621621668e-06,2.67e-06,6.73e-06,0,0.06546287679229823,0.07203872361603386,-0.02349915049694677,0.403872013092041,0.5493972301483154,0,0.403872013092041,0.5493972301483154,0
00:00:00:03.003,51,0.0,0.06416392,0.05009617,0.07784041,0.18551214,0.6037848578229889,0.0,0.0,0.0605845,0.06824919,0.06296826,0.20512228,0.8631915536263131,0.0,0.00175464,0.00032169,0.00421239,0.046888078385964024,0.0015334,0.05320286,0.02960608,0.00038773,0.0004119,0.28402038278261815,0.32125394055521445,0.00127731666692213,0.0014670333336267401,0.0016225176807941402,0.0010072342270411201,0.0,0.0,0.00123779,0.00155148,0.00033082269253362,0.0227968,0.00699905,0.01041245,0.2445138290131389,0.28119577999972845,0.23560721,0.26134464,6.63e-06,0.01571463,0.1243689,0.14636295,0.05981588,0.00047907,1.0420540542360001e-05,2.65621621668e-06,2.7e-06,6.63e-06,0,0.06462956637229697,0.0702964123749734,-0.02356349942909841,0.4036272764205933,0.5493389368057251,0,0.4036272764205933,0.5493389368057251,0
00:00:00:04.004,51,0.0,0.0560544,0.05497961,0.07188822,0.21327619,0.6812527902293659,0.0,0.0,0.04953698,0.0634749,0.06336308,0.23010011,1.013935147975241,0.0,0.00145322,0.00068482,0.00245914,0.06121916757460653,0.00160578,0.04249886,0.02591317,0.00033374,0.00040843,0.34229941495365945,0.3454543699537876,0.0016436500003287303,0.00181923333369718,0.0022021458252604203,0.0013731119075395802,0.0,0.0,0.00118968,0.0012158,0.00040349519258325005,0.02135719,0.00768042,0.01004175,0.2253736886154522,0.2545400636353707,0.24210338,0.26180238,6.35e-06,0.01916206,0.11035325,0.11105659,0.04914775,0.00051121,1.130594594792e-05,2.0432432436e-06,2.31e-06,6.35e-06,0,0.07424324046040437,0.06284997444065693,-0.02353183513719844,0.4037952125072479,0.5480334162712097,0,0.4037952125072479,0.5480334162712097,0
00:00:00:05.005,51,0.0,0.05333084,0.07110925,0.05346002,0.22246511,0.6237929467966516,0.0,0.0,0.04491124,0.05323926,0.07800928,0.24107888,1.0168914878337332,0.0,0.00141466,0.00063728,0.00300909,0.0632377391210223,0.001834,0.03809493,0.02600237,0.00031232,0.00043463,0.40832270700453344,0.40567823122129354,0.00137480000027496,0.00158165000031633,0.00221143623763374,0.0011172548971701,0.0,0.0,0.00129049,0.00157114,0.00044930480799915004,0.01983098,0.00746865,0.00932913,0.20714599533377323,0.24326101093536026,0.25617525,0.25830412,6.14e-06,0.0175049,0.10614321,0.10722293,0.04859856,0.00049936,1.113567567762e-05,2.17945945984e-06,2.09e-06,6.14e-06,0,0.07346299798728395,0.0690124282183158,-0.0261625422594696,0.4042654037475586,0.5469678640365601,0,0.4042654037475586,0.5469678640365601,0
00:00:00:06.006,51,0.0,0.05522142,0.06028588,0.06790452,0.211356,0.7323915909556558,0.0,0.0,0.0501097,0.05882274,0.06743906,0.22785753,0.9589950963581902,0.0,0.00146529,0.00038837,0.00374733,0.05936705921008822,0.00199084,0.04018206,0.02041731,0.00028514,0.00042224,0.2697864800711967,0.28137672585479995,0.00365028333406339,0.00426720000085344,0.0017836960828939202,0.00104390427859614,0.0,0.0,0.00147149,0.00136917,0.0004879000003332,0.02653803,0.00849558,0.01141991,0.17225916627148657,0.19788856590437418,0.2441019,0.26547489,7.8e-06,0.02005654,0.1172181,0.08871812,0.04352531,0.00048067,1.423459459708e-05,2.45189189232e-06,2.45e-06,7.8e-06,0,0.07614478396777315,0.0673386952092285,-0.026619573946457704,0.4041430652141571,0.5466260313987732,0,0.4041430652141571,0.5466260313987732,0
00:00:00:07.007,51,0.0,0.06162464,0.10849708,0.04425371,0.17743427,0.6862921496614043,0.0,0.0,0.05659095,0.03247902,0.11524796,0.1983245,0.8503571372525557,0.0,0.00169357,0.00021822,0.00359273,0.04204615992911289,0.00215382,0.03983993,0.02006352,0.00040666,0.000318,0.274214209348485,0.29541907573488824,0.00304393333394212,0.00334758333400285,0.0011577736085198402,0.0009932039693058602,0.0,0.0,0.00203638,0.00180153,0.00050411865419043,0.02226997,0.00858938,0.01457534,0.19236020474675256,0.20648353783332085,0.34018448,0.37479734,6.68e-06,0.02414048,0.12702738,0.06211964,0.03530756,0.00041744,1.4370810813320003e-05,2.41783783826e-06,1.99e-06,6.68e-06,0,0.06451682739154316,0.06977728520948209,-0.028047093316539942,0.4038151204586029,0.5461987257003784,0,0.4038151204586029,0.5461987257003784,0
00:00:00:08.008,51,0.0,0.08424673,0.12204184,0.04282868,0.12815708,0.6873581051777217,0.0,0.0,0.07998172,0.0291552,0.12521961,0.14753971,0.7709151301125211,0.0,0.0016776,7.849e-05,0.00388252,0.02110219173732139,0.00147062,0.04516382,0.02044849,0.00016526,0.00073162,0.130749350969165,0.1452138386203548,0.0035898333340513,0.00411706666749008,0.0006163612888048201,0.0005681610310615201,0.0,0.0,0.00171463,0.00155681,0.00040262000027496003,0.02689529,0.00761335,0.01577935,0.1403796635574075,0.14619336894599325,0.31615126,0.34028605,6.33e-06,0.03358359,0.10069946,0.04817562,0.03103353,0.0002748,1.0522702704540002e-05,1.8729729733000002e-06,2.14e-06,6.33e-06,0,0.0570032581482721,0.07288133385245997,-0.02767774965630427,0.403548926115036,0.5463069081306458,0,0.403548926115036,0.5463069081306458,0
00:00:00:09.009,51,0.0,0.09535541,0.0986504,0.04963504,0.11114939,0.6071813969698625,0.0,0.0,0.0968896,0.0357761,0.1074354,0.1203789,0.5869478435833243,0.0,0.00176315,7.424e-05,0.00331331,0.014991132552593179,0.00095663,0.05557078,0.02947356,0.0001345,0.00099558,0.0942081888592474,0.09998751614863871,0.0029225000005845,0.0036974666674061602,0.00074706324759846,0.00041741922690234,0.0,0.0,0.00148906,0.00122862,0.00038979173103543006,0.03273972,0.00685873,0.0113856,0.15672592991472464,0.17373481934941742,0.35126758,0.33753008,5.81e-06,0.02082619,0.1355643,0.06708886,0.04871709,0.00026262,8.71783783936e-06,1.97513513548e-06,2.81e-06,5.81e-06,0,0.04833340993930702,0.0751701919395722,-0.028698092271770424,0.40399134159088135,0.5490397214889526,0,0.40399134159088135,0.5490397214889526,0
00:00:00:10.010,51,0.0,0.07762007,0.14344689,0.03569495,0.12914827,0.6461203774079848,0.0,0.0,0.0768706,0.02354992,0.13449188,0.14462316,0.6803010322219777,0.0,0.00137377,6.4e-05,0.0033951,0.01450493864327075,0.00095451,0.03747281,0.01892836,0.00012164,0.00103628,0.056975248195084795,0.06162402096635792,0.0032026833339738703,0.00410520000082104,0.0006846855156250201,0.00039845195885664,0.0,0.0,0.00181664,0.00133644,0.00050111461572684,0.03250042,0.00837428,0.01496778,0.14068437240376944,0.15530712491375573,0.34568223,0.32722691,5.82e-06,0.03374809,0.11419167,0.06387448,0.04032478,0.00023259,7.96864865004e-06,1.7367567570600002e-06,2.58e-06,5.82e-06,0,0.05402118580944359,0.0803187077558774,-0.02932932227468204,0.40337935090065,0.5485146045684814,0,0.40337935090065,0.5485146045684814,0
