Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:01.001,51,0.20808645,0.04855883,0.04558007,0.09507214,0.23647784,0.39068353,0.00296580,0.18442354,0.04088395,0.10199434,0.05203824,0.26511866,0.61497545,0.00339206,0.00115281,0.00040658,0.00105118,0.18939005,0.00439822,0.07516338,0.10224254,0.00071760,0.00058067,0.76255822,0.72915798,0.00016641,0.00016744,0.00413395,0.00483304,0.00801275,0.00879918,0.00110295,0.00352374,0.00090458,0.00906652,0.00511710,0.00772677,0.14970946,0.27943575,0.83399630,0.83973777,0.00000249,0.03188571,0.03994417,0.07028148,0.03278194,0.00049224,0.00000221,0.00000031,0.00000128,0.00000249,0,0.04997779912637907,0.021904094972384696,-0.019857019761041875,0.4674651026725769,0.48296722769737244,0,0.4674651026725769,0.48296722769737244,0
00:00:00:02.002,51,0.27531803,0.08606312,0.05323812,0.08796471,0.15327169,0.43942496,0.00229567,0.20929228,0.07265475,0.10911690,0.05181416,0.17919302,0.64413905,0.00261421,0.00129334,0.00025640,0.00108745,0.13314821,0.00506499,0.06371617,0.10884720,0.00047363,0.00071181,0.76350081,0.71344399,0.00032124,0.00035910,0.00351724,0.00246678,0.00910412,0.01807857,0.00127663,0.00291444,0.00113654,0.00843211,0.00538732,0.00629884,0.11046347,0.21809761,0.84238577,0.82271653,0.00000274,0.03358882,0.05387422,0.04861327,0.02738186,0.00039198,0.00000240,0.00000035,0.00000124,0.00000274,0,0.05020825155033889,0.02707826567430032,-0.019463621671482804,0.4686826467514038,0.48377737402915955,0,0.4686826467514038,0.48377737402915955,0
00:00:00:03.003,51,0.27543017,0.08523483,0.04922041,0.09479498,0.15458687,0.43424037,0.00227586,0.20663056,0.07136543,0.11839613,0.04714277,0.18223146,0.64737928,0.00265446,0.00129872,0.00025618,0.00118100,0.13837937,0.00505013,0.06272879,0.10483329,0.00044170,0.00076425,0.76152992,0.71272087,0.00029832,0.00033449,0.00374789,0.00265101,0.00846795,0.01687404,0.00130042,0.00311020,0.00113715,0.00858033,0.00545086,0.00662855,0.11475957,0.22466007,0.83979374,0.82048011,0.00000274,0.03223750,0.05527830,0.05019770,0.02761600,0.00040194,0.00000238,0.00000035,0.00000126,0.00000274,0,0.0491457420172486,0.026568827538689513,-0.01974762578450457,0.46881210803985596,0.48351243138313293,0,0.46881210803985596,0.48351243138313293,0
00:00:00:04.004,51,0.68598318,0.67625731,0.18075439,0.02136009,0.00734715,0.64686573,0.00055916,0.39271814,0.66833007,0.04432537,0.16911024,0.01020881,0.63934642,0.00099469,0.00226146,0.00024900,0.00112845,0.07035670,0.00225079,0.06423206,0.06374401,0.00041089,0.00099303,0.77585375,0.73011070,0.00022951,0.00023556,0.00574141,0.00541516,0.00917527,0.01667293,0.00131997,0.00321082,0.00130036,0.00958209,0.00985830,0.01296048,0.18729371,0.36610389,0.87771475,0.85778385,0.00000391,0.01795434,0.07806461,0.09540212,0.06345840,0.00041945,0.00000278,0.00000060,0.00000172,0.00000391,0,0.07572521108555653,0.03588868912196943,-0.02213553132745477,0.4666953980922699,0.4935520887374878,0,0.4666953980922699,0.4935520887374878,0
00:00:00:05.005,51,0.74410760,0.83051229,0.13118787,0.04278678,0.00309821,0.56241536,0.00044713,0.55092502,0.75524604,0.18628791,0.02807489,0.00580989,0.64436555,0.00054517,0.00210166,0.00031497,0.00130502,0.06504285,0.00168869,0.10151141,0.07460131,0.00050014,0.00112578,0.80950582,0.75982028,0.00033386,0.00032574,0.00800346,0.00889461,0.01529371,0.02140938,0.00130419,0.00280276,0.00171660,0.01432118,0.01202474,0.01549820,0.20936212,0.41683692,0.91332018,0.91044056,0.00000299,0.00987560,0.07383381,0.24343619,0.12493789,0.00041107,0.00000304,0.00000090,0.00000307,0.00000299,0,0.10469463113924572,0.0322298657954298,-0.031644877301618045,0.46992674469947815,0.497391015291214,0,0.46992674469947815,0.497391015291214,0
00:00:00:06.006,51,0.75281370,0.80610740,0.09216461,0.06598991,0.00395496,0.52457058,0.00040851,0.55062044,0.77859586,0.16133164,0.03078846,0.00585351,0.66969383,0.00063542,0.00199640,0.00069477,0.00060787,0.08308316,0.00104131,0.19046381,0.12059416,0.00081265,0.00056383,0.84608233,0.81837976,0.00119152,0.00106654,0.00520391,0.00856001,0.05541086,0.04643759,0.00080477,0.00096984,0.00136052,0.01405362,0.00801176,0.00969086,0.22371641,0.48790011,0.92810619,0.93862063,0.00000283,0.01090339,0.05514040,0.33627778,0.14973599,0.00035767,0.00000451,0.00000111,0.00000308,0.00000283,0,0.09775539964682542,0.025647518707014986,-0.0288526927943387,0.4693363904953003,0.4969108998775482,0,0.4693363904953003,0.4969108998775482,0
00:00:00:07.007,51,0.75259650,0.82458222,0.11150848,0.05850429,0.00377977,0.58348668,0.00040042,0.54842013,0.73505688,0.24000964,0.01841799,0.00739006,0.66650987,0.00071299,0.00201629,0.00163407,0.00065451,0.19362441,0.00092321,0.15901394,0.06211156,0.00124887,0.00037892,0.87575680,0.86035115,0.00120480,0.00104705,0.00675136,0.01609417,0.07592286,0.05122278,0.00069365,0.00116628,0.00117148,0.01457356,0.00899514,0.01261302,0.33893320,0.64231372,0.91907942,0.93423462,0.00000262,0.00835301,0.10350445,0.31029725,0.14979391,0.00056288,0.00000573,0.00000128,0.00000397,0.00000262,0,0.09871586667845436,0.024105007263397277,-0.02934680773277615,0.46958860754966736,0.49671563506126404,0,0.46958860754966736,0.49671563506126404,0
00:00:00:08.008,51,0.73194110,0.72651839,0.10470912,0.05519604,0.00719497,0.63314027,0.00043389,0.50884348,0.67615283,0.13436456,0.04032796,0.01175704,0.69180179,0.00086355,0.00206137,0.00271252,0.00063329,0.25890586,0.00050979,0.19728518,0.06258938,0.00066275,0.00044406,0.89293295,0.88903075,0.00278621,0.00251430,0.00811792,0.01789341,0.09669648,0.05952097,0.00060398,0.00075554,0.00114131,0.01806628,0.00659930,0.01000355,0.42011809,0.71845222,0.91339403,0.92602700,0.00000361,0.01235971,0.09045624,0.24734774,0.12854117,0.00067110,0.00000728,0.00000122,0.00000359,0.00000361,0,0.10764379477060793,0.02104479874979242,-0.031397188977706866,0.46711498498916626,0.4936247169971466,0,0.46711498498916626,0.4936247169971466,0
00:00:00:09.009,51,0.63527393,0.57836246,0.09559234,0.05340221,0.01600987,0.67593777,0.00073804,0.40951577,0.55170661,0.07988705,0.08420575,0.02078746,0.70822418,0.00129727,0.00192091,0.00332097,0.00075378,0.41180280,0.00063376,0.13369423,0.05386809,0.00049178,0.00045067,0.88656729,0.89919031,0.00210107,0.00217432,0.00887294,0.01350703,0.06484377,0.07630166,0.00052581,0.00076755,0.00076104,0.01278716,0.00473191,0.00805652,0.39302444,0.66845214,0.85971475,0.87631536,0.00000417,0.03866652,0.04699277,0.10359344,0.04756010,0.00072424,0.00000539,0.00000090,0.00000239,0.00000417,0,0.10945175050473108,0.017198928667089712,-0.024642142266997465,0.4644887149333954,0.48904016613960266,0,0.4644887149333954,0.48904016613960266,0
00:00:00:10.010,51,0.40408990,0.29134506,0.09316450,0.05715913,0.05911725,0.58940512,0.00162259,0.30949664,0.25027740,0.09420351,0.07694904,0.06671549,0.69480181,0.00237896,0.00186349,0.00270232,0.00105011,0.48915413,0.00072619,0.13211697,0.03952679,0.00092768,0.00017965,0.89684516,0.92453939,0.00700250,0.00717391,0.00737099,0.01615143,0.11522008,0.14674570,0.00050179,0.00072827,0.00095514,0.01330029,0.00456224,0.00915794,0.32255149,0.53767538,0.79048312,0.85489815,0.00000437,0.04200256,0.03363433,0.07384579,0.03200547,0.00066346,0.00000626,0.00000101,0.00000222,0.00000437,0,0.10845914674245129,0.017133150989701355,-0.02085464490612715,0.46579691767692566,0.4846978783607483,0,0.46579691767692566,0.4846978783607483,0
