Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:01.001,51,0.12287917950416614,0.17806195,0.01559937,0.42056841,0.09894522,0.6620053133555636,0.0,0.12269499771812444,0.1931044,0.39408702,0.0046778,0.09444908,0.5681977288093075,0.0,0.00073303,0.00064977,0.00025641,0.029062507104748378,0.00881325,0.00381622,0.0,0.00837309,3.5e-05,0.7261328146078009,0.5659156577338247,0.0002231776191789,0.00033756738115095,0.02807944814472232,0.00830995462748128,0.0004792525,0.0045494025,0.02088992,0.01820366,0.010106954940862589,0.009651426609769921,0.10407145,0.03457143,0.052355305880726996,0.14535688011313286,0.38995123,0.35209441,7.891081076199999e-07,0.01272993655969338,0.01629005295090108,0.00809042,0.00565631,0.00038246,1.65717391257e-06,6.163043476499999e-07,0.0,0.0,0,0.20825785364019614,0.03300984782756993,0.024804238237804213,0.4416081309318543,0.4612140655517578,0,0.4416081309318543,0.4612140655517578,0
00:00:00:02.002,51,0.129703178802012,0.13828541,0.02359073,0.30864921,0.14952344,0.6538871932464928,0.0,0.12689076879701214,0.14729896,0.29639661,0.00964823,0.13715415,0.5938440375354638,0.0,0.00120141,0.00074638,0.00120553,0.10049462950240004,0.01346057,0.00624389,0.0,0.00169424,7.299e-05,1.4778040209033856,1.5767866709074052,0.00020064047630849997,0.00026192142872549995,0.013370908095926821,0.009084948030200641,0.0003550825,0.00493441,0.02053904,0.03523794,0.00453429035280036,0.0017534901721622399,0.02893345,0.03331365,0.2508181875216224,0.48336052633793,0.40846726,0.4538655,8.9397297242e-07,0.015321399044576899,0.012536708468457418,0.01221373,0.00803772,0.00085347,1.4654347821899998e-06,6.436956519899999e-07,0.0,0.0,0,0.2423383137283851,0.03095265210795503,0.020950009699348415,0.4394538700580597,0.4614455103874207,0,0.4394538700580597,0.4614455103874207,0
00:00:00:03.003,51,0.12983118773081098,0.13613422,0.0235141,0.30936188,0.15176681,0.6570406042794183,0.0,0.12541830129439444,0.14566466,0.29696745,0.0096822,0.13899212,0.5907839334420667,0.0,0.00120513,0.00074468,0.00122283,0.10205339077586957,0.01389261,0.00615236,0.0,0.00170272,7.286e-05,1.487581961626674,1.5857593325945167,0.0001994909524983,0.000261071428725,0.01365932392091378,0.00911749185520482,0.00034881,0.0049714025,0.0207157,0.03692407,0.00453233941162395,0.00171612397238832,0.02959343,0.03347385,0.24521576634532574,0.475368921985237,0.40218225,0.44643766,9.1494594538e-07,0.01476141280168004,0.01275501921541029,0.01218084,0.00828842,0.00086731,1.4654347821899998e-06,6.573913041599999e-07,0.0,0.0,0,0.2419317178377108,0.03131569969837054,0.02124619705500563,0.4394911825656891,0.4614479541778565,0,0.4394911825656891,0.4614479541778565,0
00:00:00:04.004,51,0.1336419355947285,0.12923849,0.0228884,0.33483312,0.1687054,0.6654611131786107,0.0,0.139433946676454,0.14322199,0.32774332,0.00763834,0.14468551,0.6190393774002817,0.0,0.00087391,0.00167038,0.00075962,0.14279080970435926,0.01800795,0.00512516,0.0,0.00171471,5.646e-05,1.5882800781367878,1.7581644285051323,0.00049616119076805,0.00066459880991475,0.01431044115201914,0.00931958053274272,0.0004632825,0.0073759575,0.01933957,0.02262121,0.00715118435271909,0.0018673847748439199,0.02494118,0.02830376,0.16674139258305698,0.33696091551894714,0.35718384,0.43139967,9.332972967199999e-07,0.0180995707996152,0.013076639796418769,0.01256043,0.00689745,0.00091255,1.8489130429499998e-06,5.8891304331e-07,0.0,0.0,0,0.2546788205194261,0.017773021200798943,0.01685772360292841,0.4398123919963837,0.4615536332130432,0,0.4398123919963837,0.4615536332130432,0
00:00:00:05.005,51,0.12870367415737796,0.11619036,0.01720129,0.4469257,0.17868263,0.6358931505367482,0.0,0.11643928092128887,0.12185788,0.45474225,0.00362248,0.1597193,0.5828526113757537,0.0,0.0010959,0.00245557,0.00081669,0.14429058388689162,0.01218055,0.00499652,0.0,0.001383,5.409e-05,1.6525343339225296,1.8030552457358708,0.0006689580956316,0.0009510285719879999,0.02048245354479062,0.01408695750492232,0.0005157075,0.0072773675,0.01958794,0.02099203,0.009112789411481699,0.00234902467155528,0.02951446,0.03929099,0.2818505208147763,0.5372682321009618,0.40212852,0.46730268,1.10370270202e-06,0.015290133585136778,0.011660599132097368,0.01346945,0.00837881,0.00100818,2.3282608688999998e-06,7.669565215199999e-07,0.0,0.0,0,0.2626425462524058,0.016169313535080766,0.015797669181372306,0.44050854444503773,0.4604659676551819,0,0.44050854444503773,0.4604659676551819,0
00:00:00:06.006,51,0.1289694891578505,0.1529859,0.03231391,0.26745817,0.1504347,0.6410770224243438,0.0,0.12324897021910927,0.15676019,0.28966779,0.00913787,0.1340234,0.6217818631661863,0.0,0.00114571,0.00229867,0.00088561,0.13571106061007887,0.00921227,0.00573599,0.0,0.00097582,7.393e-05,1.666189994164048,1.797307830072987,0.00053604642888675,0.0007072242861303,0.01655505230551672,0.01448995628103742,0.0005943825,0.00587235,0.01856291,0.02083535,0.0077761105879938005,0.00225828373989456,0.02925278,0.04317069,0.3728745983413612,0.6454838328034833,0.41143718,0.46323165,1.1639999992799998e-06,0.01874856371813268,0.012124906144683539,0.01356352,0.00759623,0.00101423,2.3282608688999998e-06,6.847826085e-07,0.0,0.0,0,0.2618663875134469,0.015051592428702253,0.011993671618273966,0.4377447962760925,0.4590893983840942,0,0.4377447962760925,0.4590893983840942,0
00:00:00:07.007,51,0.12356158200537931,0.12249251,0.02706699,0.30522043,0.18840395,0.6692978195853959,0.0,0.11632308449251086,0.12745568,0.31120023,0.00832857,0.17515343,0.6312055838094363,0.0,0.00111789,0.00145504,0.00094143,0.13243971497215745,0.01132085,0.0070073,0.0,0.00062787,0.00012703,1.626980372114263,1.7616443266980448,0.00039047785737255,0.0005331604765040999,0.01431919774293566,0.01009664522529514,0.00056097,0.0068587325,0.01584211,0.01805353,0.0060234077645188195,0.0018827402148259202,0.0232046,0.03490792,0.30907978787275414,0.552398292335786,0.45252788,0.48620433,9.7786486426e-07,0.0123752731004533,0.018931117557495387,0.01491255,0.00937893,0.00090294,2.3282608688999998e-06,6.573913041599999e-07,0.0,0.0,0,0.2584545273948244,0.011343181454220651,0.017222954655319242,0.43731439113616943,0.4587739408016205,0,0.43731439113616943,0.4587739408016205,0
00:00:00:08.008,51,0.13188942023447006,0.15471643,0.02575503,0.31296808,0.13924703,0.6422756638837595,0.0,0.11615969913507755,0.15457904,0.31797767,0.00762015,0.13582638,0.6163333080044942,0.0,0.00120217,0.00094962,0.00062041,0.08707149440509898,0.0135582,0.00732196,0.0,0.00070395,0.00011034,1.5542805601835998,1.6078936354869817,0.0008088073814281501,0.0010395338101353,0.009423681653965059,0.0047618100673014006,0.0007610975,0.008998835,0.02469052,0.01509596,0.007621588470351539,0.00217003855316256,0.02408698,0.02357711,0.22682128905177937,0.5012161082197284,0.51118946,0.57531989,8.9397297242e-07,0.017413584178417898,0.014222563572693058,0.01035867,0.00768383,0.00068939,2.6569565209799997e-06,7.669565215199999e-07,0.0,0.0,0,0.2519030046316697,0.012138668727098895,0.029006312102762045,0.4368938505649567,0.4607980847358704,0,0.4368938505649567,0.4607980847358704,0
00:00:00:09.009,51,0.15112482455438064,0.20335168,0.02090231,0.277684,0.1010157,0.6608879521452814,0.0,0.15042691312456846,0.22410935,0.27575362,0.01503799,0.08633583,0.5944305428737089,0.0,0.00128683,0.00036618,0.00048967,0.03534780710774138,0.01017622,0.00849739,0.0,0.00091882,0.00017695,1.7534862481434965,1.6767196916343552,0.00025508500015004995,0.0003547738097325,0.01085908550827564,0.00333314166637048,0.0005365725,0.006382315,0.02000048,0.02287568,0.0068494135291990495,0.00288333955858464,0.0442279,0.02741612,0.14093814987797598,0.3703362344590871,0.58289641,0.58113468,1.0984594587799999e-06,0.029849723468022737,0.010383442036281988,0.00734349,0.00600499,0.00074098,1.7393478255899997e-06,7.2586956501e-07,0.0,0.0,0,0.2351071071955125,0.019786297226151918,0.02799795978611312,0.4357289969921112,0.4620088934898377,0,0.4357289969921112,0.4620088934898377,0
00:00:00:10.010,51,0.137062527029381,0.18572427,0.01934151,0.31355798,0.10479447,0.6560465606848295,0.0,0.13704386810077637,0.21112023,0.30739835,0.01256493,0.09142494,0.5908447314847886,0.0,0.00084343,0.00026519,0.00027765,0.01385998473387272,0.00524207,0.00610934,0.0,0.00148322,0.00018145,1.7640926332041682,1.6205304259694229,0.00023606523823409997,0.0003491961906816,0.00826847867852388,0.00194237837090752,0.000382095,0.006760245,0.01834808,0.02434238,0.01120756988200488,0.0056488193122643995,0.04229036,0.01986859,0.04679555917501731,0.13342708317232688,0.58398378,0.51073903,1.05913513448e-06,0.02948698017094982,0.010714707181608689,0.0064994,0.00465168,0.00051454,1.7941304342699998e-06,6.163043476499999e-07,0.0,0.0,0,0.19253545689785367,0.026114670466859047,0.03543303202816078,0.4365205466747284,0.4623151123523712,0,0.4365205466747284,0.4623151123523712,0
